episode,reward_mean,reward_sma,avg_qos,drops,retries,edf
0,534.9295084411875,534.9295084411875,0.8726261921182904,174,2317,0.2852142919229748
1,574.7132469407449,554.8213776909662,0.8779585463354367,167,2119,0.21959818254342153
2,582.5461227934248,564.0629593917857,0.8758671707677552,170,2080,0.17959754525911098
3,540.2188501092888,558.1019320711615,0.8481619047908696,209,2293,0.04680559213273095
4,588.5960320736522,564.2007520716596,0.8661151874532025,184,2051,0.04679835610086079
5,661.5397514758815,580.4239186390299,0.8976444237820319,140,1686,0.017425083650459836
6,500.048328091818,568.9416914179997,0.855500766019924,198,2492,0.2598528437324805
7,510.8405004332499,561.679042544906,0.8486083032471432,208,2439,0.18033450352296262
8,549.7388700830583,560.3523567158118,0.8657719363020552,184,2244,0.21242177333881365
9,612.6605058505833,565.5831716292889,0.8741120206609536,173,1931,0.006175348288740734
10,493.0617207026175,561.3963928554319,0.8540717274367232,200,2527,0.29097295564859826
11,491.60959247007384,553.0860274083649,0.8532839978009377,201,2534,0.2497327922401265
12,659.702958698958,560.8017109989181,0.8962277035637783,142,1695,0.06370173320348284
13,636.1903625049939,570.3988622384886,0.8834034778194464,160,1813,0.05454749016213018
14,588.158899107799,570.3551489419033,0.8696524031419703,179,2053,0.055021352956030146
15,631.6498244407355,567.3661562383888,0.8868300371697879,155,1835,0.09127267288786131
16,573.3787802008013,574.699201449287,0.8737038436975432,173,2126,0.15742692948967135
17,590.3164522645297,582.646796632415,0.8732012829740288,174,2042,0.12958350559263473
18,580.7518068172903,585.7480903058382,0.8696029796708135,179,2090,0.08736874205941257
19,524.8366088092345,576.9657006017035,0.8536429268767896,201,2369,0.18355586841671384
20,577.0696934178386,585.3664978732255,0.8611373284289616,191,2109,0.04184815819561255
21,614.1889388813155,597.6244325143496,0.8804582299424751,164,1923,0.08764339456056544
22,565.1764072533355,588.1717773697874,0.8610523542005672,191,2168,0.1099085529881075
23,577.2554864922904,582.278289768517,0.8695446576684265,179,2107,0.13682099526511077
24,546.8465656327581,578.1470564210128,0.8706293444016521,177,2258,0.23555278841790406
25,652.7681121361021,580.2588851905496,0.8941229831452032,145,1730,0.05990213464750792
26,551.6085900333732,578.0818661738068,0.863702736750992,187,2235,0.15427033152408348
27,537.3943795474681,572.7896589021005,0.8649835191466553,185,2306,0.17772437065861274
28,585.2536275787864,573.2398409782502,0.8647413475883647,186,2068,0.013935123815999317
29,571.2241306157969,577.8785931589065,0.8701764661080752,178,2137,0.1822634555704315
30,600.780358981573,580.2496597152799,0.8725517785580496,175,1990,0.051157237106187456
31,611.449573828132,579.9757232099616,0.8741030916324536,173,1937,0.019515477895583853
32,545.5117235225797,578.009254836886,0.8685476008627447,180,2265,0.28466566117599995
33,520.5880335605276,572.3425095437098,0.8647701597513097,185,2389,0.2896896099223678
