episode,reward_mean,reward_sma,avg_qos,drops,retries,edf
0,-100.0,-100.0,0.279743989872,1,10,0.22952481390860965
1,-99.0020480012288,-99.5010240006144,0.6388479943216,1,10,0.06423480350085836
2,-92.77426238268923,-97.25877012797268,0.9532259983436,1,16,0.12345380159685573
3,-85.67112880031618,-94.36185979605855,0.9536749985109,1,11,0.07861746381407422
4,-98.03745849161885,-95.09697953517062,0.8780693306462667,1,14,0.18697352003296114
5,-97.46705356848821,-95.49199187405686,0.8949028544706286,1,14,0.22643374888069567
6,-92.6590068643684,-95.08727972981566,0.9190097761035554,1,11,0.13662847398190925
7,-100.0,-95.7013697635887,0.279743989872,1,10,0.24193568963843776
8,-95.31491416456794,-95.6584302525864,0.8952182829588571,1,12,0.10325435189057793
9,-100.0,-96.09258722732775,0.279743989872,1,10,0.2343965210960198
10,-100.0,-96.09258722732775,0.279743989872,1,10,0.17210909156189777
11,-98.65448878897539,-96.05783130610243,0.7584799958384,1,11,0.2672674241741825
12,-100.0,-96.7804050678335,0.279743989872,1,10,0.15409947343489297
13,-94.010496006272,-97.61434178842907,0.8956068546244572,1,10,0.0663815447136293
14,-88.66537930478621,-96.67713386974582,0.943516306249846,1,11,0.062226038541382096
15,-99.000256000128,-96.83045411290979,0.6397439948720001,1,10,0.028006482322828163
16,-91.47403769403815,-96.71195719587678,0.9428381519222152,1,14,0.11697560702147142
17,-98.0040960024576,-96.51236679612252,0.7585493291381334,1,10,0.007173692052182756
18,-98.0010240005632,-96.78097777972206,0.7595733297696,1,10,0.1987613034907411
19,-255.57802041217948,-112.33877982094,0.9802723786831238,1,47,0.12031264701038845
20,-101.4652687296364,-112.48530669390364,0.7563946612538667,1,14,0.2341312374055643
21,-98.385713589073,-112.4584291739134,0.85408319643408,1,13,0.06907006066194694
22,-100.0,-112.4584291739134,0.279743989872,1,10,0.14475702533046808
23,-86.95669314039812,-111.753048887326,0.9720382838276859,1,27,0.22192567035903557
24,-129.58985007921916,-115.84549596476931,0.8157959935648,1,17,0.0534076352910819
25,-95.31591060011907,-115.47706142476841,0.8952182831017143,1,12,0.0961853476194376
26,-100.0,-116.3296576553646,0.279743989872,1,10,0.17923353692248103
27,-100.51049453159042,-116.58029750827788,0.8181799965836001,1,13,0.126104387786984
28,-98.38988886898846,-116.61918399512042,0.85377599670096,1,13,0.2890869450836137
29,-95.47070904265706,-100.60845285816818,0.9330356346535272,1,16,0.20175104846383593
30,-91.66268079378818,-99.62819406458335,0.9267247981473602,1,11,0.028923643111665585
31,-100.0,-99.78962270567605,0.279743989872,1,10,0.1843882630891954
32,-98.6533748610916,-99.65496019178521,0.7589066627362667,1,11,0.22178111460493577
33,-98.0025600015104,-100.75954687789644,0.7590613294538665,1,10,0.014792628165112376
34,-99.0005120002816,-97.70061307000267,0.6396159947952,1,10,0.11371405471068763
35,-150.3135340232777,-103.20037541231855,0.9241711960745599,1,23,0.2734944890895587
36,-84.95299767785154,-101.6956751801037,0.9722822840759141,1,20,0.047483869858795276
37,-95.3075177227208,-101.17537749921675,0.8961325694297143,1,12,0.18612601898008993
38,-103.7806819779073,-101.71445681010863,0.9375613311455333,1,19,0.19296668727693347
39,-96.97998498978221,-101.86538440482113,0.9530179982435,1,16,0.2992733973680262
40,-99.000256000128,-102.59914192545511,0.6397439948720001,1,10,0.0007430962799243046
41,-100.0,-102.59914192545511,0.279743989872,1,10,0.09639499411263337
42,-95.31133016098474,-102.26493745544443,0.8957302834707429,1,12,0.11771160429752185
43,-96.6590068644964,-102.13058214174303,0.8542175969607999,1,11,0.05552591332032418
44,-97.65949130086594,-101.99648007180147,0.8178999962464,1,11,0.23005360481847426
45,-100.0,-96.96512666947369,0.279743989872,1,10,0.09057239702730147
46,-97.0028160016384,-98.17010850185238,0.8192319970583999,1,10,0.21246113788378837
47,-95.51727384960932,-98.19108411454123,0.9185368869218665,1,13,0.1852142493840518
48,-97.0046080027392,-97.51347671702442,0.8187839967832,1,10,0.17094571560232172
49,-93.4829753081832,-97.16377574886451,0.9426289211623384,1,16,0.2362465232110279
50,-99.000256000128,-97.16377574886452,0.6397439948720001,1,10,0.2676612218200262
51,-96.65858479143299,-96.82963422800782,0.85426879676576,1,11,0.04573341551408122
52,-99.65244078774658,-97.263745290684,0.638743994372,1,11,0.2951280343463564
53,-100.0,-97.59784460423437,0.279743989872,1,10,0.20514171740015982
54,-98.0040960024576,-97.63230507439353,0.7585493291381334,1,10,0.14989860015163645
55,-92.0038400020992,-96.83268907460345,0.9195448874990222,1,10,0.09409866868980261
56,-100.0,-97.1324074744396,0.279743989872,1,10,0.005586942714027332
57,-148.22605201395527,-102.4032852908742,0.9168675527598222,1,20,0.2246418734568755
58,-96.0035840020736,-102.30318289080765,0.85523199755968,1,10,0.15000247547928366
59,-96.0048640028672,-102.55537176027603,0.85497599740096,1,10,0.03083954111901592
60,-97.6536308612196,-102.4207092463852,0.8191159970202,1,11,0.28439284283177935
61,-100.0,-102.75485076724189,0.279743989872,1,10,0.0988686832159092
62,-100.0,-102.78960668846723,0.279743989872,1,10,0.16867559984400107
63,-97.71215492043036,-102.56082218051029,0.9614015975765998,1,26,0.2550591209261771
64,-99.73080272294274,-102.73349285255878,0.7583253290874667,1,12,0.04884281801110385
65,-95.30937208697412,-103.0640460610463,0.8959862836422857,1,12,0.17716304756217482
66,-93.660030865034,-102.4300491475497,0.9087579980333,1,11,0.08061557172864593
67,-100.0,-97.60744394615416,0.279743989872,1,10,0.23368565523130697
68,-88.0168960100096,-96.80877514694777,0.9432959984509538,1,10,0.08112003334563678
69,-99.46866885098474,-97.15515563175953,0.85306879633152,1,14,0.08336925165732421
70,-104.52631820397514,-97.84242436603508,0.9416344590787078,1,24,0.29759611380192036
71,-99.45748418096305,-97.78817278413138,0.9080079976708,1,14,0.16701862723175184
72,-99.65539529840834,-97.75371231397222,0.6378479937216,1,11,0.10558916918450713
73,-99.000256000128,-97.88252242194197,0.6397439948720001,1,10,0.2205375292025156
74,-81.94374605306147,-96.10381675495384,0.9669606941949217,1,16,0.2210223396338202
75,-100.0,-96.57287954625643,0.279743989872,1,10,0.1525711322611196
76,-100.0,-97.20687645975303,0.279743989872,1,10,0.059457961147162015
77,-95.0087040064256,-96.70774686039559,0.8785066639077334,1,10,0.09162335390448893
78,-97.0028160016384,-97.60633885955846,0.8192319967512,1,10,0.006713349303891392
79,-91.39320971247628,-96.79879294570762,0.9385399980334665,1,13,0.14213944570643008
80,-98.0025600015104,-96.14641712546116,0.7590613294538665,1,10,0.04975515263811853
81,-91.31602809329893,-95.33227151669475,0.9332043617428364,1,12,0.10022057990260898
82,-93.65653679020419,-94.73238566587432,0.9091739982506,1,11,0.15889449131611277
83,-91.2936816986634,-93.96172823572786,0.9579617759209333,1,19,0.22125309597365503
84,-92.93644759185658,-95.06099838960738,0.9620143983589597,1,20,0.09126580414314928
85,-104.81881342065553,-95.54287973167293,0.959880418618442,1,20,0.11654655902987321
86,-100.0,-95.54287973167293,0.279743989872,1,10,0.11922622301022155
87,-99.46211744619268,-95.98822107564965,0.85393919686912,1,14,0.12619791123455723
88,-102.51087384561572,-96.53902686004737,0.6366159931452,1,13,0.15631199792569608
89,-87.6210757395243,-96.16181346275218,0.95379599868705,1,14,0.1872933203128819
90,-99.65286286081,-96.32684374868214,0.6386159942452,1,11,0.2430467599502045
91,-107.96132454260947,-97.99137339361319,0.85319039655984,1,16,0.1463327856936455
92,-100.0,-98.62571971459276,0.279743989872,1,10,0.020579572559766557
93,-97.003072001792,-99.19665874490563,0.8191679970200001,1,10,0.014988380278569502
94,-130.55077746242563,-102.95809173196253,0.8510271953516801,1,20,0.2925440156486813
95,-88.3577558225846,-101.31198597215544,0.9560527041592001,1,16,0.23141893656277962
96,-95.39062214692021,-100.85104818684746,0.9082579973136,1,13,0.22251708399777748
97,-94.96851746049387,-100.40168818827757,0.9080339975957,1,13,0.1925377277143542
98,-115.64184547431415,-101.71478535114741,0.8764799964717334,1,18,0.16655243480455026
99,-94.1718953246618,-102.36986730966117,0.9328639980593455,1,14,0.05345576569552446
100,-99.03636237165293,-102.30821726074547,0.85399039691984,1,14,0.1327715111356829
101,-98.45799618124465,-101.35788442460898,0.9181724423427554,1,14,0.05324033759164724
102,-109.63752689522518,-102.3216371141315,0.8152839947082,1,17,0.25555241468105855
103,-88.8685949439649,-101.50818940834878,0.9622167982829198,1,19,0.19568042641126177
104,-98.65448878897539,-98.31856054100376,0.7584799958384,1,11,0.023680443553403794
105,-98.65565129853634,-99.34835008859895,0.7584799957717333,1,11,0.13854711639618456
106,-99.0020480012288,-99.7094926740298,0.6388479943216,1,10,0.1534993955068039
