episode,reward_mean,reward_sma,avg_qos,drops,retries,edf
0,-101.50998253130882,-101.50998253130882,0.7577439955386667,1,13,0.2696276440062827
1,-99.0020480012288,-100.2560152662688,0.6388479943216,1,10,0.07373845787211054
2,-99.65244078774658,-100.05482377342805,0.638743994372,1,11,0.13584670552370648
3,-96.77643282019292,-99.23522603511928,0.9177279973114667,1,16,0.2032733399694383
4,-149.5315770049514,-109.29449622908571,0.9160817742984888,1,22,0.18899017056628586
5,-100.0,-107.74541352423809,0.279743989872,1,10,0.28750301496306885
6,-96.65747086354921,-106.16142171556825,0.85452479715024,1,11,0.21373649561479616
7,-100.0,-105.39124400112222,0.279743989872,1,10,0.24157523271688958
8,-96.0048640028672,-104.348312890205,0.85497599740096,1,10,0.04562781865996144
9,-89.74598601642167,-102.88808020282666,0.9432639981816617,1,12,0.1604735044879784
10,-100.0,-102.73708194969576,0.279743989872,1,10,0.20253022421840636
11,-93.96649702317714,-102.23352685189062,0.9183662201701333,1,13,0.20928409592560068
12,-90.62101337895659,-101.33038411101163,0.9430744596784,1,14,0.15285480529888784
13,-92.6638708673636,-100.91912791572868,0.9184693311897776,1,11,0.04870700484729521
14,-93.006400003712,-95.26661021560474,0.90916799827,1,10,0.0033614423658060886
15,-93.42497764961053,-94.6091079805658,0.95310099740425,1,17,0.12954517743853694
16,-84.05826089473068,-93.34918698368395,0.9624607984826801,1,14,0.06601615649318238
17,-100.0,-93.34918698368395,0.279743989872,1,10,0.1415925326364657
18,-100.0,-93.74870058339722,0.279743989872,1,10,0.27798150035808944
19,-116.34094330184882,-96.40819631193993,0.8157839951332,1,16,0.09936684617326327
20,-98.04358209353978,-96.21255452129392,0.8777279970205334,1,14,0.19753468418673384
21,-93.3155160911504,-96.14745642809123,0.9184177755859556,1,12,0.1403882388884244
22,-95.04850532388102,-96.59020562258368,0.9177742198092445,1,14,0.2946315323429345
23,-92.27458911068886,-96.5512774469162,0.9382279980514666,1,15,0.11957607362129336
24,-88.62527545647308,-96.11316499219232,0.9503914648005867,1,14,0.04739487803464869
25,-95.65619086273,-96.33628631350427,0.8789839977617334,1,11,0.11465796138336705
26,-90.0107520062976,-96.93153542466095,0.933544725779491,1,10,0.01586342662658643
27,-96.655934862602,-96.59712891092116,0.8548319973396798,1,11,0.14361680297379067
28,-99.0005120002816,-96.4971801109493,0.6396159947952,1,10,0.0045022658770728415
29,-121.6359404569137,-97.0266798264558,0.9495775980048532,1,21,0.14649322390539177
30,-95.0053760043776,-96.7228592175396,0.8790613309157332,1,10,0.14228946359293113
31,-96.0051200030208,-96.99181960872662,0.85492479737024,1,10,0.03599596109561802
32,-100.0,-97.48696907633853,0.279743989872,1,10,0.1471648409072091
33,-100.0,-98.25951016526963,0.279743989872,1,10,0.06492390470529401
34,-93.04883344712502,-98.70186596433483,0.9326545432421818,1,14,0.17400828044543956
35,-100.11272308059449,-99.14751918612129,0.9077259974516,1,15,0.2547550044972469
36,-99.31079059681667,-100.0775230451732,0.7572159950048,1,12,0.288396069369462
37,-95.6577268636772,-99.97770224528071,0.8787279976038667,1,11,0.017638102063951767
38,-91.73873873053388,-99.25152491830593,0.9333672708992,1,12,0.029948653743774332
39,-86.99010563479504,-95.78694143609407,0.9701969214821845,1,24,0.11805031326428889
40,-93.50138150440566,-95.63654198609689,0.9558174100051765,1,18,0.04102835126536296
41,-100.0,-96.03602998579478,0.279743989872,1,10,0.2855704846608236
42,-99.0020480012288,-95.93623478591768,0.6388479943216,1,10,0.04007745605302541
43,-87.9623941909939,-94.73247420501707,0.9679653313218998,1,22,0.1685715210020707
44,-97.65500078925699,-95.19309093923026,0.8187319968083999,1,11,0.05071410380544664
45,-100.0,-95.18181863117081,0.279743989872,1,10,0.29270514307634876
46,-99.0005120002816,-95.15079077151731,0.6396159946544,1,10,0.15724884241551154
47,-85.63395189640313,-94.1484132747899,0.9582328870963112,1,14,0.19620937741277947
48,-96.0035840020736,-94.57489780194388,0.8552319975596798,1,10,0.21618504360013865
49,-100.0,-95.87588723846436,0.279743989872,1,10,0.17566160244878457
50,-88.66951870253823,-95.39270095827763,0.9577884424600445,1,18,0.2878369159669621
51,-108.34220139294642,-96.22692109757227,0.9380826648,1,16,0.06581133371187799
52,-100.0,-96.3267162974494,0.279743989872,1,10,0.28660962400121237
53,-87.66921930775234,-96.29739880912523,0.9472765698642285,1,11,0.010123828627546749
54,-99.0005120002816,-96.43194993022769,0.6396159947952,1,10,0.21241816812004102
55,-92.39518559061354,-95.67146848928904,0.932813089001818,1,13,0.18725964332626585
56,-99.000256000128,-95.67144288927369,0.6397439948720001,1,10,0.25366095128660254
57,-89.6656628720484,-96.07461398683822,0.9387026647709998,1,11,0.1417681848669958
58,-99.0005120002816,-96.37430678665902,0.6396159947952,1,10,0.06217102012442385
59,-92.3995893121676,-95.61426571787578,0.9327432706251636,1,13,0.23166879734054965
60,-99.0020480012288,-96.64751864774482,0.6388479943216,1,10,0.21163500954271908
61,-95.66358730455234,-95.37965723890542,0.8779173302165334,1,11,0.011014300427667888
62,-97.0043520025856,-95.08009243916399,0.8188479968216,1,10,0.10916145294916481
63,-94.65756079086978,-95.77892658747572,0.8960525693744,1,11,0.1427661283496506
64,-102.45159617743025,-96.12403500519059,0.8539903969798399,1,14,0.29475529237545656
65,-152.0016918524933,-102.08468563137856,0.8931222816514285,1,21,0.18914296729154292
66,-98.0025600015104,-101.9849160315168,0.7590613294538665,1,10,0.026205061900054026
67,-100.0,-103.01834974431196,0.279743989872,1,10,0.018270800091242545
68,-99.0020480012288,-103.0185033444067,0.6388479943216,1,10,0.2435183283874152
69,-95.52227053991042,-103.33077146718097,0.9178826642238221,1,13,0.1932587952715006
70,-99.0383650010518,-103.33440316716329,0.85373439676112,1,14,0.08338338113682336
71,-93.31551609068612,-103.09959604577664,0.9184177757537777,1,12,0.023564785015505463
72,-100.0,-103.39916084551808,0.279743989872,1,10,0.09345801087254954
73,-96.00332800192,-103.5337375666231,0.8552831975903998,1,10,0.08083965821764903
74,-94.0074240043776,-102.68932034931784,0.8960457122134856,1,10,0.021187677545700754
75,-97.73182672350595,-97.26233383641912,0.85479039733984,1,12,0.0936090886215527
76,-92.0133120082176,-96.66340903708983,0.9184924424060443,1,10,0.2418633439810932
77,-95.6610548657252,-96.22951452366235,0.8781733303910667,1,11,0.2579414132040652
78,-91.005888003328,-95.42989852387225,0.9273855986544,1,10,0.0366545583528589
79,-100.0,-95.87767146988122,0.279743989872,1,10,0.08533824734292689
80,-99.0005120002816,-95.87388616980421,0.6396159947952,1,10,0.03731696345495981
81,-97.0061440036864,-96.24294896110423,0.8183999965463999,1,10,0.11974495496461098
82,-93.9645389496308,-95.63940285606732,0.9185653313833776,1,13,0.20336591492635894
83,-100.0,-96.03907005587533,0.279743989872,1,10,0.13316976883469125
84,-99.65244078774658,-96.60357173421221,0.638743994372,1,11,0.00962254752455688
85,-92.6641268675172,-96.09680174861333,0.9184408868648001,1,11,0.11851642089178763
86,-95.66205130360514,-96.46167567815209,0.8781733303744,1,11,0.18374015164842766
87,-99.0005120002816,-96.79562139160774,0.6396159947952,1,10,0.02861108635786201
88,-95.00716800424959,-97.19574939169989,0.8787626642704001,1,10,0.11242506913814285
89,-95.00716800424959,-96.69646619212486,0.8787626642704001,1,10,0.017823591084266222
90,-102.50972653118082,-97.04738764521477,0.636743993372,1,13,0.18173077768608206
91,-109.64741511431042,-98.31151475627718,0.9377066645910667,1,18,0.2554924567936113
92,-97.003072001792,-98.6153680614933,0.8191679970199999,1,10,0.010435455266204619
93,-97.0046080027392,-98.3158288617672,0.8187839967832,1,10,0.1542443921726848
94,-102.65618149063094,-98.61620293205564,0.9602391559217685,1,18,0.11053586649621223
95,-100.0,-99.34979024530392,0.279743989872,1,10,0.2477782998733776
96,-86.12815298983556,-98.39640041392697,0.9607435776501894,1,15,0.0979267879229483
97,-98.0040960024576,-98.29675881414457,0.7585493291381334,1,10,0.10806909355056347
98,-99.47160035649271,-98.74320204936889,0.8947702829438856,1,16,0.27619972876669474
99,-92.66333130306754,-98.50881837925068,0.918639998087111,1,11,0.028223756329528015
100,-99.54884433751619,-98.21273015988422,0.9076739975018,1,17,0.2588946444643147
101,-93.31705209163333,-96.5796938576165,0.9182471089818667,1,12,0.14644319189364965
102,-96.08913999603377,-96.48830065704068,0.972774618503476,1,28,0.12534495784886
103,-98.51459053404803,-96.63929891017156,0.8781039973128001,1,13,0.0961010724027594
