step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
500,107.25405976738226,500,0.8718700716388961,35,462,0.2852,0.8718700716388961
1000,132.36529021553176,500,0.8942327129046319,29,337,0.0485,0.8942327129046319
1500,120.1001845757301,500,0.88307407186486,32,398,0.2479,0.88307407186486
2000,117.56379593851358,500,0.8689607123505481,36,411,0.0362,0.8689607123505481
2500,101.92539593073298,500,0.847183271783368,42,489,0.2209,0.847183271783368
3000,115.3284407339269,500,0.87590447243374,34,422,0.2077,0.87590447243374
3500,97.74468688504116,500,0.836464310509392,45,510,0.1338,0.836464310509392
4000,107.14216691955768,500,0.857997030146252,39,463,0.1756,0.857997030146252
4500,129.134080659733,500,0.897548392787864,28,353,0.162,0.897548392787864
5000,97.73127566363824,500,0.8399988703712761,44,510,0.1981,0.8399988703712761
5500,124.3462119805406,500,0.886741833088828,31,377,0.0188,0.886741833088828
6000,127.55740237064477,500,0.886949193413948,31,361,0.0054,0.886949193413948
6500,102.36077174962944,500,0.8366379908244079,45,487,0.0083,0.8366379908244079
7000,108.53068039768154,500,0.850895510488024,41,456,0.0949,0.850895510488024
7500,136.28484229760377,500,0.911767593469828,24,317,0.2315,0.911767593469828
8000,112.29193993439884,500,0.8792800725490479,33,437,0.2198,0.8792800725490479
8500,112.59119914003496,500,0.8583425523303879,39,436,0.0006,0.8583425523303879
9000,113.34100359974876,500,0.868719990923936,36,432,0.0696,0.868719990923936
9500,121.54482944886024,500,0.8760749526538202,34,391,0.0525,0.8760749526538202
10000,113.76004385784532,500,0.8653859123515599,37,430,0.1052,0.8653859123515599
10500,117.57128384819896,500,0.861926151919224,38,411,0.0722,0.861926151919224
11000,117.0790374272854,500,0.886440712446884,31,413,0.2694,0.886440712446884
11500,98.11213652574166,500,0.8504855905149961,41,508,0.2186,0.8504855905149961
12000,96.8880277805947,500,0.843330871097948,43,514,0.2835,0.843330871097948
12500,127.34078303435446,500,0.886864952853292,31,362,0.048,0.886864952853292
13000,151.33840559491094,500,0.926529114537716,20,242,0.0777,0.926529114537716
13500,121.8700294268348,500,0.8935629525792319,29,389,0.2653,0.8935629525792319
14000,121.88577025813606,500,0.8900437524269199,30,389,0.2044,0.8900437524269199
14500,130.1553527528684,500,0.8834627131389721,32,348,0.0274,0.8834627131389721
15000,110.83273152650337,500,0.88258335058218,32,444,0.2989,0.88258335058218
15500,137.7193206402898,500,0.904822233224848,26,310,0.1068,0.904822233224848
16000,116.0966454599325,500,0.879359992142872,33,418,0.1662,0.879359992142872
16500,115.89574457142818,500,0.8757847117915278,34,419,0.1546,0.8757847117915278
17000,115.30001495510892,500,0.8793366316395439,33,422,0.1918,0.8793366316395439
17500,138.32139597115398,500,0.908397033741012,25,307,0.047,0.908397033741012
18000,126.93630313704546,500,0.8868692730810559,31,364,0.0795,0.8868692730810559
18500,142.65773831267768,500,0.93313367379082,18,285,0.2606,0.93313367379082
19000,105.1321315036038,500,0.8508368699914121,41,473,0.0839,0.8508368699914121
19500,142.5444216985699,500,0.905037914498796,26,286,0.0072,0.905037914498796
20000,114.72315246097148,500,0.8687375113430559,36,425,0.1705,0.8687375113430559
20500,121.75929835551732,500,0.876127192877072,34,390,0.0805,0.876127192877072
21000,134.9454007839155,500,0.894201433122636,29,324,0.0073,0.894201433122636
21500,134.319584839605,500,0.901225194001336,27,327,0.1249,0.901225194001336
22000,111.51317489133464,500,0.8651005510129679,37,441,0.1609,0.8651005510129679
22500,113.8974566733324,500,0.8757461523477119,34,429,0.2197,0.8757461523477119
