step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
500,508.7379581783108,500,0.8632547189184736,187,2448,0.2852,0.8632547189184736
1000,506.36402251913626,500,0.8611312319872488,190,2460,0.2619,0.8611312319872488
1500,581.542007796938,500,0.8674817951801271,182,2086,0.0749,0.8674817951801271
2000,572.5940352265732,500,0.8730063373557864,174,2130,0.1715,0.8730063373557864
2500,563.5668649393352,500,0.8588905302242872,194,2176,0.0805,0.8588905302242872
3000,518.2210743118309,500,0.8640456485503688,186,2401,0.233,0.8640456485503688
3500,624.3575758159158,500,0.8797862438081806,165,1872,0.0219,0.8797862438081806
4000,601.6919745341098,500,0.8774354119086943,168,1985,0.0724,0.8774354119086943
4500,612.0100404336239,500,0.8747829802752343,172,1934,0.0119,0.8747829802752343
5000,625.9145582997423,500,0.8818886763251208,162,1864,0.086,0.8818886763251208
5500,579.0489445841955,500,0.8786324035885769,166,2097,0.2187,0.8786324035885769
6000,581.2850024248648,500,0.891266641117296,148,2085,0.2881,0.891266641117296
6500,569.3951603334285,500,0.8778402421798697,167,2145,0.2543,0.8778402421798697
7000,612.6291216746394,500,0.8991982126772937,137,1928,0.2877,0.8991982126772937
7500,610.3727568433075,500,0.8747342115641574,172,1942,0.0626,0.8747342115641574
8000,554.4552282554051,500,0.8608938737125199,191,2221,0.1535,0.8608938737125199
8500,583.5784122803994,500,0.8835656017400135,159,2074,0.2376,0.8835656017400135
9000,636.7557679201107,500,0.9015563886856888,134,1808,0.2123,0.9015563886856888
9500,628.2557594858133,500,0.8770426765955087,169,1853,0.0186,0.8770426765955087
10000,599.2679600191614,500,0.8676567720750479,182,1998,0.0313,0.8676567720750479
10500,634.6357909364369,500,0.88895594129966,152,1820,0.096,0.88895594129966
11000,567.6417260730938,500,0.8701576172304513,178,2155,0.1573,0.8701576172304513
11500,554.2154693823954,500,0.8734549600475937,173,2221,0.2408,0.8734549600475937
12000,565.6237199210094,500,0.8666194412835593,183,2165,0.114,0.8666194412835593
12500,597.0703143586978,500,0.8858006286788607,156,2007,0.1603,0.8858006286788607
13000,603.3838412171203,500,0.8809526434629688,163,1976,0.1336,0.8809526434629688
13500,621.8156672524563,500,0.8867404857692041,155,1884,0.1362,0.8867404857692041
14000,570.9083004546712,500,0.8855426746240239,156,2137,0.2999,0.8855426746240239
14500,588.6541307918015,500,0.8947899539110984,143,2048,0.2738,0.8947899539110984
15000,568.6580863444531,500,0.8735874428208672,173,2149,0.218,0.8735874428208672
15500,696.2141088972376,500,0.902193241790124,134,1513,0.0271,0.902193241790124
16000,667.1998705828213,500,0.9004609509994408,136,1657,0.1208,0.9004609509994408
16500,616.5841650597426,500,0.8845746604927393,158,1910,0.1248,0.8845746604927393
17000,539.7116708209339,500,0.8733091674557888,173,2293,0.2806,0.8733091674557888
17500,574.1059144233936,500,0.86528116838692,185,2123,0.1139,0.86528116838692
18000,682.2499074750602,500,0.90411530405586,131,1582,0.0591,0.90411530405586
18500,632.796275288125,500,0.8882036367858352,153,1829,0.0976,0.8882036367858352
19000,678.382873316286,500,0.8991878468727799,138,1602,0.0043,0.8991878468727799
19500,582.7631718291719,500,0.8856404505944017,156,2078,0.2463,0.8856404505944017
20000,621.9776952837246,500,0.8888557958418271,152,1883,0.1422,0.8888557958418271
20500,546.020791123918,500,0.8691593931552505,179,2262,0.2169,0.8691593931552505
21000,528.4342018583496,500,0.8598882557385448,192,2350,0.254,0.8598882557385448
21500,650.1560618412241,500,0.8862858781021351,156,1743,0.0407,0.8862858781021351
22000,614.0698427036402,500,0.8978160517531281,139,1921,0.2723,0.8978160517531281
22500,550.6712050981365,500,0.8797268473868743,164,2238,0.2828,0.8797268473868743
23000,574.727377347739,500,0.873653073626692,173,2119,0.1889,0.873653073626692
23500,639.3108905032867,500,0.8854804377472671,157,1797,0.0373,0.8854804377472671
24000,583.8538763993204,500,0.8912227554018622,148,2072,0.2745,0.8912227554018622
24500,608.712719319143,500,0.8880107395311455,153,1949,0.1748,0.8880107395311455
25000,634.7393447291488,500,0.8903159575230823,150,1819,0.1563,0.8903159575230823
25500,567.074472337037,500,0.8714693934904472,176,2157,0.2073,0.8714693934904472
26000,540.2811099907891,500,0.8739911043101304,172,2290,0.2777,0.8739911043101304
26500,578.0898573264708,500,0.8750932189659584,171,2102,0.2075,0.8750932189659584
27000,705.846373843387,500,0.9091952397888377,124,1464,0.0586,0.9091952397888377
27500,608.5254792826374,500,0.8823647078363585,161,1950,0.164,0.8823647078363585
28000,567.1366782785055,500,0.8805864976808184,163,2156,0.2658,0.8805864976808184
28500,624.835460624505,500,0.9049588669744608,129,1867,0.293,0.9049588669744608
29000,625.3429307557824,500,0.8909641976582648,149,1866,0.1276,0.8909641976582648
29500,684.2983297323509,500,0.9041470800689312,131,1572,0.0704,0.9041470800689312
30000,629.3636245005298,500,0.8979450117940615,139,1845,0.2263,0.8979450117940615
30500,547.7066590448279,500,0.8656904964609456,184,2254,0.177,0.8656904964609456
31000,631.5184473243096,500,0.8902803722566119,150,1835,0.1849,0.8902803722566119
31500,604.5255026059508,500,0.892136434559656,147,1969,0.282,0.892136434559656
32000,625.4287257565413,500,0.8944211401655912,144,1865,0.2158,0.8944211401655912
32500,669.2016370740421,500,0.9004701990952535,136,1647,0.0923,0.9004701990952535
33000,608.559070440182,500,0.8830744361433128,160,1950,0.1541,0.8830744361433128
