step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
500,-94.31616659996548,500,0.9082839977332,1,12,0.1557,0.9082839977332
1000,-99.38296970615195,500,0.8181799960266001,1,13,0.2826,0.8181799960266001
1500,-100.0,500,0.279743989872,1,10,0.0145,0.279743989872
2000,-96.0051200030208,500,0.85492479737024,1,10,0.2955,0.85492479737024
2500,-88.70478612111069,500,0.9533669979343,1,15,0.075,0.9533669979343
3000,-100.51228653269122,500,0.8177319960012,1,13,0.1628,0.8177319960012
3500,-180.22632231028703,500,0.9571697755477776,1,26,0.161,0.9571697755477776
4000,-101.51023853146242,500,0.7576586621541334,1,13,0.266,0.7576586621541334
4500,-100.0,500,0.279743989872,1,10,0.2407,0.279743989872
5000,-100.0,500,0.279743989872,1,10,0.158,0.279743989872
5500,-100.0,500,0.279743989872,1,10,0.0431,0.279743989872
6000,-96.39023479633464,500,0.8954811404784,1,13,0.1045,0.8954811404784
6500,-99.0020480012288,500,0.6388479943216,1,10,0.0353,0.6388479943216
7000,-100.0,500,0.279743989872,1,10,0.2918,0.279743989872
7500,-94.66102730171072,500,0.8957234263058285,1,11,0.0534,0.8957234263058285
8000,-98.90098398859674,500,0.9075079973583,1,16,0.2954,0.9075079973583
8500,-90.97190059239196,500,0.9382413313567332,1,13,0.2085,0.9382413313567332
9000,-96.308797723412,500,0.8786079975528001,1,12,0.0968,0.8786079975528001
9500,-99.0005120002816,500,0.6396159947952,1,10,0.0595,0.6396159947952
10000,-240.1904360851672,500,0.9142524396359112,1,31,0.2108,0.9142524396359112
10500,-92.31144765239658,500,0.92688319832408,1,12,0.1304,0.92688319832408
11000,-100.0,500,0.279743989872,1,10,0.0233,0.279743989872
11500,-92.6641268675172,500,0.9184408868648,1,11,0.079,0.9184408868648
12000,-96.30769757713158,500,0.8787359976629333,1,12,0.2028,0.8787359976629333
12500,-97.6569588644964,500,0.818283996201,1,11,0.1275,0.818283996201
13000,-99.0020480012288,500,0.6388479943216,1,10,0.0858,0.6388479943216
13500,-125.24655294225636,500,0.917425775308711,1,18,0.1386,0.917425775308711
14000,-97.0028160016384,500,0.8192319970584001,1,10,0.1191,0.8192319970584001
14500,-106.6709115460552,500,0.96167839789804,1,24,0.2079,0.96167839789804
15000,-103.01070217510042,500,0.957984887039422,1,17,0.2389,0.957984887039422
15500,-93.3126101621658,500,0.9187591092552,1,12,0.1612,0.9187591092552
16000,-99.0020480012288,500,0.6388479943216,1,10,0.1112,0.6388479943216
16500,-100.0,500,0.279743989872,1,10,0.0487,0.279743989872
17000,-89.66640330485953,500,0.9387239983136002,1,11,0.0148,0.9387239983136002
17500,-100.0,500,0.279743989872,1,10,0.1661,0.279743989872
18000,-109.34527339514804,500,0.9321745432180362,1,16,0.0313,0.9321745432180362
18500,-96.6590068644964,500,0.8542175969607999,1,11,0.2635,0.8542175969607999
19000,-99.000256000128,500,0.6397439948720001,1,10,0.1735,0.6397439948720001
19500,-98.82259269313836,500,0.8946171400277716,1,15,0.2878,0.8946171400277716
