step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
1000,763.7016948297975,1000,0.8644383412758192,278,3669,0.2852,0.8644383412758192
2000,924.8643944184104,1000,0.8762365805666362,255,2867,0.0077,0.8762365805666362
3000,821.8457685033931,1000,0.8624512590699881,283,3380,0.1875,0.8624512590699881
4000,841.5593133066825,1000,0.8649589538747039,278,3282,0.1489,0.8649589538747039
5000,827.1700864648977,1000,0.8760639112903471,254,3352,0.2887,0.8760639112903471
6000,852.458337930933,1000,0.8673868145756778,273,3228,0.1245,0.8673868145756778
7000,841.8638049310754,1000,0.86725570009341,273,3280,0.1735,0.86725570009341
8000,808.6934383128128,1000,0.8660992917567003,275,3445,0.2139,0.8660992917567003
9000,734.543526758364,1000,0.8548722791023504,298,3815,0.2938,0.8548722791023504
10000,854.5703701741056,1000,0.8654743993039534,277,3217,0.1485,0.8654743993039534
11000,866.5163423033691,1000,0.8636695033308239,281,3158,0.0514,0.8636695033308239
12000,847.0778781637575,1000,0.8691997003300821,269,3254,0.1876,0.8691997003300821
13000,916.0519073229392,1000,0.8896614858032972,226,2908,0.2237,0.8896614858032972
14000,826.0565382577405,1000,0.8662453608525733,275,3359,0.2043,0.8662453608525733
15000,907.6142722950252,1000,0.8751248860133743,257,2952,0.09,0.8751248860133743
16000,927.1755691254256,1000,0.8827339967370731,241,2854,0.1043,0.8827339967370731
17000,813.8629379465222,1000,0.8684662694834185,270,3419,0.2317,0.8684662694834185
18000,927.3271484175692,1000,0.8850877781092048,236,2853,0.117,0.8850877781092048
19000,879.8451733946988,1000,0.8852411417945859,235,3089,0.2588,0.8852411417945859
20000,851.7480776010558,1000,0.8738531387110837,259,3230,0.2008,0.8738531387110837
21000,859.4887162937821,1000,0.8682746208105173,271,3192,0.1308,0.8682746208105173
22000,893.4195736061542,1000,0.8871602444837738,231,3021,0.2207,0.8871602444837738
23000,927.8772958429256,1000,0.8799579647050751,247,2851,0.064,0.8799579647050751
24000,839.2919466318658,1000,0.8802887580460965,245,3291,0.2667,0.8802887580460965
25000,982.669379069696,1000,0.9008608688977104,203,2576,0.1256,0.9008608688977104
26000,938.2062365196988,1000,0.8771942214369494,253,2800,0.0154,0.8771942214369494
27000,906.6407717858714,1000,0.8756130479460165,256,2957,0.0885,0.8756130479460165
28000,912.5375795483424,1000,0.873788119431007,260,2928,0.075,0.873788119431007
29000,905.819476481022,1000,0.8760754027426901,255,2961,0.1258,0.8760754027426901
30000,837.2860979118109,1000,0.8718693096243909,263,3302,0.236,0.8718693096243909
31000,876.3977461276677,1000,0.8884272515415029,228,3105,0.2849,0.8884272515415029
32000,941.5555828134128,1000,0.8809570494247452,245,2783,0.0153,0.8809570494247452
33000,884.0587732539549,1000,0.8889775258286342,227,3067,0.2777,0.8889775258286342
34000,981.2490186093166,1000,0.8882401663933472,230,2585,0.0021,0.8882401663933472
35000,863.9175932740911,1000,0.8715929808782181,264,3170,0.1749,0.8715929808782181
36000,924.7561026629736,1000,0.8817720334751638,243,2866,0.1194,0.8817720334751638
37000,874.8966198720918,1000,0.8781746957075531,250,3114,0.2078,0.8781746957075531
38000,988.5438956916656,1000,0.8896423952351818,227,2548,0.0218,0.8896423952351818
39000,835.2810747094824,1000,0.8699838488591174,267,3312,0.2334,0.8699838488591174
40000,965.3256422532356,1000,0.8838754391528674,239,2664,0.0346,0.8838754391528674
41000,892.9779291425912,1000,0.8950833705128577,214,3022,0.283,0.8950833705128577
42000,848.8592259081187,1000,0.8686726696887702,270,3245,0.1721,0.8686726696887702
43000,949.7896413308353,1000,0.8865790868939659,233,2741,0.0597,0.8865790868939659
44000,955.632145494733,1000,0.8885335707318368,229,2712,0.081,0.8885335707318368
45000,919.3784788484232,1000,0.873802391781185,260,2894,0.0264,0.873802391781185
46000,919.3075439551887,1000,0.8873057943330159,231,2892,0.1567,0.8873057943330159
47000,1004.8055073442334,1000,0.9005135625362907,204,2466,0.0509,0.9005135625362907
48000,926.3640146046632,1000,0.8808331545316892,245,2858,0.1169,0.8808331545316892
49000,903.1609182875115,1000,0.8797094504750549,247,2973,0.1754,0.8797094504750549
50000,966.3885106603728,1000,0.8927999414838171,220,2658,0.0808,0.8927999414838171
51000,943.3785073002116,1000,0.8832564411889648,240,2773,0.096,0.8832564411889648
52000,1046.9607259881116,1000,0.9026218321086188,200,2256,0.0014,0.9026218321086188
53000,985.6857241384274,1000,0.8900687208127632,226,2562,0.0407,0.8900687208127632
54000,921.72980522019,1000,0.902245164370326,199,2878,0.2956,0.902245164370326
55000,968.7399577759048,1000,0.8843661378301633,238,2647,0.0285,0.8843661378301633
56000,1025.9499660952172,1000,0.9043288383499516,196,2360,0.0787,0.9043288383499516
57000,1007.3067330732256,1000,0.9009559212431948,203,2453,0.0919,0.9009559212431948
58000,937.6782155693828,1000,0.8939631596475405,217,2800,0.2207,0.8939631596475405
59000,932.8450301632926,1000,0.8948882164845088,215,2824,0.2056,0.8948882164845088
60000,998.0788448025236,1000,0.8934226630440065,219,2500,0.0039,0.8934226630440065
61000,816.5780122777867,1000,0.8749410946170346,256,3404,0.2875,0.8749410946170346
62000,927.6079615035673,1000,0.8999465730429578,204,2849,0.264,0.8999465730429578
63000,968.4908276581804,1000,0.8881291986059349,230,2648,0.0788,0.8881291986059349
64000,1005.790018589733,1000,0.8939772012296108,218,2462,0.0241,0.8939772012296108
65000,971.7724349119438,1000,0.8950905643734598,215,2630,0.1491,0.8950905643734598
66000,953.123480103316,1000,0.8945290794783302,216,2723,0.1671,0.8945290794783302
67000,1061.81940923845,1000,0.9082798485074608,188,2181,0.0471,0.9082798485074608
68000,976.837250885244,1000,0.9030901378248763,198,2604,0.1878,0.9030901378248763
69000,896.4377476842739,1000,0.8792551358734175,248,3007,0.1732,0.8792551358734175
70000,960.8449763898296,1000,0.9015071498023788,201,2683,0.2438,0.9015071498023788
71000,1055.9872052700373,1000,0.9086967545802294,187,2210,0.0606,0.9086967545802294
72000,929.7688006299356,1000,0.8943706568758997,216,2839,0.2321,0.8943706568758997
73000,933.0039202263888,1000,0.8980775056941196,208,2822,0.277,0.8980775056941196
74000,1041.2710449356157,1000,0.9058487770040934,193,2284,0.0412,0.9058487770040934
75000,979.2127096070934,1000,0.8979658401152757,209,2593,0.1337,0.8979658401152757
76000,897.6578602330696,1000,0.8899438399360757,225,2999,0.265,0.8899438399360757
77000,933.3863499793786,1000,0.8808603641190623,245,2823,0.1079,0.8808603641190623
78000,910.1861065412612,1000,0.8923323300990278,220,2936,0.278,0.8923323300990278
79000,966.9803272169725,1000,0.8927180636074384,220,2654,0.159,0.8927180636074384
80000,1042.7231719723409,1000,0.9025829092015232,200,2277,0.003,0.9025829092015232
81000,1019.014996351554,1000,0.8991355270283793,207,2395,0.0404,0.8991355270283793
82000,914.8225820520285,1000,0.8872204807648935,231,2914,0.189,0.8872204807648935
83000,908.0667369335496,1000,0.8853412469461798,235,2948,0.2062,0.8853412469461798
84000,992.905413942926,1000,0.8975785764793894,210,2525,0.0859,0.8975785764793894
85000,912.7215412234476,1000,0.8941833912288639,216,2923,0.284,0.8941833912288639
86000,1030.8183004753923,1000,0.9071316225453908,190,2335,0.0981,0.9071316225453908
87000,922.6603513764228,1000,0.8933387737524715,218,2874,0.2507,0.8933387737524715
88000,966.031580834118,1000,0.9052882914403692,193,2657,0.2468,0.9052882914403692
89000,1050.2340477587184,1000,0.9110023117356804,182,2238,0.1187,0.9110023117356804
90000,911.6275605977438,1000,0.8983673387509434,207,2928,0.2877,0.8983673387509434
91000,995.7479368706016,1000,0.9068745323245948,190,2509,0.2285,0.9068745323245948
92000,987.6728637311188,1000,0.8975416910499914,210,2551,0.1263,0.8975416910499914
93000,962.7839493580504,1000,0.8987355332347531,207,2674,0.1901,0.8987355332347531
94000,948.199189353078,1000,0.906552183710457,190,2745,0.292,0.906552183710457
95000,975.4831117385492,1000,0.8932634296126186,219,2612,0.1226,0.8932634296126186
96000,1070.218795062228,1000,0.911614973930121,181,2139,0.0251,0.911614973930121
97000,971.0175608830208,1000,0.8997156848950277,205,2633,0.1523,0.8997156848950277
98000,1081.776368698508,1000,0.9130189224378624,178,2081,0.0278,0.9130189224378624
99000,936.0362828827688,1000,0.8971411317169113,210,2807,0.2336,0.8971411317169113
100000,1083.9703442243742,1000,0.9149352420298116,174,2070,0.0469,0.9149352420298116
101000,909.106220072118,1000,0.8909183572198773,223,2942,0.2419,0.8909183572198773
102000,1038.38383888587,1000,0.9099466197650736,184,2297,0.121,0.9099466197650736
103000,1020.7675884692216,1000,0.904696464145128,195,2385,0.1161,0.904696464145128
104000,987.3621320268072,1000,0.9091153101143008,185,2550,0.2554,0.9091153101143008
105000,982.7733386611184,1000,0.9081693995196646,187,2573,0.2451,0.9081693995196646
106000,1100.3043139678016,1000,0.920198561304406,163,1988,0.0642,0.920198561304406
107000,955.0024496014136,1000,0.9019150107774976,200,2712,0.2508,0.9019150107774976
108000,991.1745773884631,1000,0.8979924209827392,209,2533,0.1574,0.8979924209827392
109000,1013.1925082159988,1000,0.9139584169305984,175,2421,0.2237,0.9139584169305984
110000,1062.6396122091865,1000,0.9078359240889936,189,2177,0.0637,0.9078359240889936
111000,960.511661362596,1000,0.9029616567517258,198,2685,0.23,0.9029616567517258
112000,959.1198667827372,1000,0.8991778583292016,206,2692,0.2173,0.8991778583292016
113000,943.2935952469334,1000,0.9018530355132768,200,2770,0.2936,0.9018530355132768
114000,972.0962391963744,1000,0.9048708424100672,194,2627,0.2296,0.9048708424100672
115000,998.6952403778166,1000,0.9041136800552214,196,2495,0.1702,0.9041136800552214
116000,1132.408568953006,1000,0.9236555212428011,156,1828,0.0359,0.9236555212428011
117000,989.6174861860176,1000,0.8994300530632982,206,2541,0.1386,0.8994300530632982
118000,1014.537405389027,1000,0.9056005817063868,193,2416,0.1523,0.9056005817063868
119000,1096.4001853770153,1000,0.9145321267666924,175,2008,0.0381,0.9145321267666924
120000,964.1424622243898,1000,0.902514382447142,199,2667,0.2476,0.902514382447142
121000,1031.9581109541205,1000,0.915998407610167,171,2328,0.2071,0.915998407610167
122000,1057.5421124035854,1000,0.903120767075026,199,2203,0.0034,0.903120767075026
123000,1013.5149037425814,1000,0.9051013065069738,194,2421,0.1307,0.9051013065069738
124000,1072.2806598891332,1000,0.9129751986680218,178,2128,0.0876,0.9129751986680218
125000,1040.139331923824,1000,0.9201543960955438,162,2286,0.2228,0.9201543960955438
126000,1072.1924035881843,1000,0.920882386563834,161,2127,0.1718,0.920882386563834
