step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
1000,508.7379581783108,1000,0.8632547189184736,187,2448,0.2852,0.8632547189184736
2000,506.3654049232204,1000,0.8611327679924848,190,2460,0.2619,0.8611327679924848
3000,581.5406253824866,1000,0.867480259163372,182,2086,0.0749,0.867480259163372
4000,572.5940352189008,1000,0.8730063373472616,174,2130,0.1715,0.8730063373472616
5000,563.566864938104,1000,0.8588905302233399,194,2176,0.0805,0.8588905302233399
6000,518.2226103245234,1000,0.864047184565524,186,2401,0.233,0.864047184565524
7000,624.3560398054966,1000,0.8797847077939728,165,1872,0.0219,0.8797847077939728
8000,601.6970016853253,1000,0.876734387821808,169,1985,0.0724,0.876734387821808
9000,611.610869145169,1000,0.8747833321616512,172,1936,0.0119,0.8747833321616512
10000,627.7061082597817,1000,0.8826023238377344,161,1855,0.086,0.8826023238377344
11000,579.0500197837783,1000,0.8786339395858935,166,2097,0.2187,0.8786339395858935
12000,581.2863848136172,1000,0.8912681771021407,148,2085,0.2881,0.8912681771021407
13000,569.3963891499258,1000,0.8778417781962776,167,2145,0.2543,0.8778417781962776
14000,611.8158607430034,1000,0.8991833003542993,137,1932,0.2877,0.8991833003542993
15000,610.3727568374346,1000,0.8747342115537385,172,1942,0.0626,0.8747342115537385
16000,554.4552282546473,1000,0.8608938737106256,191,2221,0.1535,0.8608938737106256
17000,583.5831738888164,1000,0.8835702097469385,159,2074,0.2376,0.8835702097469385
18000,636.7616142880609,1000,0.9008469166452632,135,1808,0.2123,0.9008469166452632
19000,628.4496842589517,1000,0.8770372525662281,169,1852,0.0186,0.8770372525662281
20000,597.8669149130451,1000,0.8669414917762152,183,2005,0.0313,0.8669414917762152
21000,635.8439222710294,1000,0.8889728054984248,152,1814,0.096,0.8889728054984248
22000,569.0361884977724,1000,0.8708713612350312,177,2148,0.1573,0.8708713612350312
23000,554.2221862113263,1000,0.8734623840885615,173,2221,0.2408,0.8734623840885615
24000,565.6194190764968,1000,0.8666148332227328,183,2165,0.114,0.8666148332227328
25000,597.0747687801263,1000,0.8858052367110183,156,2007,0.1603,0.8858052367110183
26000,603.3792332102056,1000,0.880948035449708,163,1976,0.1336,0.880948035449708
27000,616.6198977231101,1000,0.8845989817793849,158,1910,0.1362,0.8845989817793849
28000,508.3409396064129,1000,0.8625064300565992,188,2450,0.2999,0.8625064300565992
29000,583.0945161059204,1000,0.8884086105779736,152,2076,0.2738,0.8884086105779736
30000,648.0051538146631,1000,0.9051755574169568,129,1752,0.218,0.9051755574169568
31000,665.5274394680466,1000,0.8948153028693048,144,1666,0.0271,0.8948153028693048
32000,570.2457473984834,1000,0.8630760967859903,188,2142,0.1208,0.8630760967859903
33000,611.9966132887117,1000,0.8824196989453376,161,1933,0.1248,0.8824196989453376
34000,559.2798022358586,1000,0.8797839203803464,164,2195,0.2806,0.8797839203803464
35000,643.8148987788376,1000,0.8939592063843663,145,1774,0.1139,0.8939592063843663
36000,633.1344732100089,1000,0.883334054052988,160,1828,0.0591,0.883334054052988
37000,616.8010570411666,1000,0.885273332835328,157,1909,0.0976,0.885273332835328
38000,654.9608589095598,1000,0.8898110942693416,151,1719,0.0043,0.8898110942693416
39000,584.1281104470584,1000,0.8835278259058024,159,2071,0.2463,0.8835278259058024
40000,618.3621503796219,1000,0.8873908682575087,154,1901,0.1422,0.8873908682575087
41000,600.6680154637935,1000,0.8865171711542448,155,1989,0.2169,0.8865171711542448
42000,583.1360957156935,1000,0.8849152651955905,157,2076,0.254,0.8849152651955905
43000,689.1239083624938,1000,0.9034955931485176,132,1548,0.0407,0.9034955931485176
44000,560.5059335762905,1000,0.882632016434272,160,2189,0.2723,0.882632016434272
45000,540.9400415236823,1000,0.8712308951086424,176,2287,0.2828,0.8712308951086424
46000,565.6881189458657,1000,0.8714315855813728,176,2164,0.1889,0.8714315855813728
47000,651.7723806552043,1000,0.8862872850845,156,1735,0.0373,0.8862872850845
48000,561.6909545505546,1000,0.8790923040397087,165,2183,0.2745,0.8790923040397087
49000,606.330473037812,1000,0.8816590913959816,162,1961,0.1748,0.8816590913959816
50000,556.8094796908076,1000,0.8615822881094296,190,2209,0.1563,0.8615822881094296
51000,624.0246166586974,1000,0.8929999731476456,146,1872,0.2073,0.8929999731476456
52000,548.4729621880117,1000,0.8768836010991048,168,2249,0.2777,0.8768836010991048
53000,599.6777232105909,1000,0.8843969320891633,158,1994,0.2075,0.8843969320891633
54000,639.0377486902368,1000,0.8861367087244407,156,1798,0.0586,0.8861367087244407
55000,621.4883746875175,1000,0.8908982924546992,149,1885,0.164,0.8908982924546992
56000,594.2670817108788,1000,0.892003458433572,147,2020,0.2658,0.892003458433572
57000,657.8111465098198,1000,0.9150297331795368,115,1702,0.293,0.9150297331795368
58000,637.8036464548786,1000,0.8882349491565681,153,1804,0.1276,0.8882349491565681
59000,623.4941461009996,1000,0.8832426610537055,160,1876,0.0704,0.8832426610537055
60000,588.9929006312453,1000,0.8849858099610703,157,2047,0.2263,0.8849858099610703
61000,567.311234893012,1000,0.8707644809217153,177,2156,0.177,0.8707644809217153
62000,611.5547134332043,1000,0.882402899837956,161,1935,0.1849,0.882402899837956
63000,589.8550646732199,1000,0.8898812173094311,150,2042,0.282,0.8898812173094311
64000,603.5091101342963,1000,0.8913824019353424,148,1974,0.2158,0.8913824019353424
65000,687.8200001309086,1000,0.9026857999299016,133,1554,0.0923,0.9026857999299016
66000,637.9436180368914,1000,0.8931789316150528,146,1803,0.1541,0.8931789316150528
67000,627.495993487359,1000,0.8957696669407776,142,1854,0.2472,0.8957696669407776
68000,678.7952732877609,1000,0.9019142295731776,134,1599,0.099,0.9019142295731776
69000,633.8132693493822,1000,0.8882220855001576,153,1824,0.1029,0.8882220855001576
70000,702.7649022210542,1000,0.91339954543998,118,1479,0.1267,0.91339954543998
71000,626.2244543118076,1000,0.8908863883217472,149,1861,0.2016,0.8908863883217472
72000,635.1514643250438,1000,0.9015360373355376,134,1816,0.2597,0.9015360373355376
73000,604.616609911936,1000,0.8851041785908984,157,1969,0.2213,0.8851041785908984
74000,653.3101569414533,1000,0.886258997489015,156,1727,0.0831,0.886258997489015
75000,676.4132099723345,1000,0.9033240226597712,132,1611,0.0901,0.9033240226597712
76000,597.7285230297858,1000,0.8892456499287783,151,2003,0.2695,0.8892456499287783
77000,651.2876765728398,1000,0.8911797012156296,149,1737,0.0698,0.8911797012156296
78000,654.8136901837788,1000,0.8940087900913792,145,1719,0.1094,0.8940087900913792
79000,633.421149051424,1000,0.893772469316272,145,1825,0.2072,0.893772469316272
80000,607.423789843153,1000,0.8949008997151016,143,1954,0.2672,0.8949008997151016
81000,688.8536132930155,1000,0.9048482788381408,130,1549,0.0499,0.9048482788381408
