step,reward_mean,episode_length,Avg_QoS,Drops,Retries,EDF,lifetime
500,508.7379581783108,500,0.8632547189184736,187,2448,0.2852,0.8632547189184736
1000,506.3654049232204,500,0.8611327679924848,190,2460,0.2619,0.8611327679924848
1500,581.5406253824866,500,0.867480259163372,182,2086,0.0749,0.867480259163372
2000,572.5924992153961,500,0.8730048013425256,174,2130,0.1715,0.8730048013425256
2500,563.5668649418927,500,0.8588905302280759,194,2176,0.0805,0.8588905302280759
3000,518.2226103245234,500,0.864047184565524,186,2401,0.233,0.864047184565524
3500,624.3545038007607,500,0.8797831717882896,165,1872,0.0219,0.8797831717882896
4000,601.6935105360042,500,0.8774369479124832,168,1985,0.0724,0.8774369479124832
4500,611.6124051583352,500,0.8747848681777537,172,1936,0.0119,0.8747848681777537
5000,627.7119451032913,500,0.8826084678902832,161,1855,0.086,0.8826084678902832
5500,579.0503269801177,500,0.8786339395811992,166,2097,0.2187,0.8786339395811992
6000,581.2879208271937,500,0.8912697131159016,148,2085,0.2881,0.8912697131159016
6500,569.3934707069968,500,0.877838706143976,167,2145,0.2543,0.877838706143976
7000,611.8173967510518,500,0.89918483636596,137,1932,0.2877,0.89918483636596
7500,610.3727568385716,500,0.8747342115641575,172,1942,0.0626,0.8747342115641575
8000,554.4538458526575,500,0.8608923377085311,191,2221,0.1535,0.8608923377085311
8500,606.8324184181675,500,0.8922465012759695,147,1958,0.2376,0.8922465012759695
9000,627.4662887136358,500,0.8951964374431737,143,1855,0.2123,0.8951964374431737
9500,632.0205911310258,500,0.880548165360304,164,1834,0.0186,0.880548165360304
10000,627.1577360673253,500,0.8811763566780447,163,1858,0.0313,0.8811763566780447
10500,620.8399898665756,500,0.8839071880728521,159,1889,0.096,0.8839071880728521
11000,564.6442383078977,500,0.8659350428472496,184,2170,0.1573,0.8659350428472496
11500,573.9798337660748,500,0.8806621780418975,163,2122,0.2408,0.8806621780418975
12000,608.0365469241623,500,0.8809901959186409,163,1953,0.114,0.8809901959186409
12500,561.9762446294144,500,0.8651399207748184,185,2183,0.1603,0.8651399207748184
13000,544.2338430131837,500,0.8572762564395816,196,2272,0.1336,0.8572762564395816
13500,607.1411678097274,500,0.8830709320966208,160,1957,0.1362,0.8830709320966208
14000,526.3312977768787,500,0.8704102388391103,177,2360,0.2999,0.8704102388391103
14500,603.2310514198589,500,0.8956036989319559,142,1975,0.2738,0.8956036989319559
15000,590.2153661596246,500,0.8850249470750008,157,2041,0.218,0.8850249470750008
15500,689.0871393061352,500,0.9048879119469968,130,1548,0.0271,0.9048879119469968
16000,627.4107563453388,500,0.8860737001643393,156,1856,0.1208,0.8860737001643393
16500,613.5886995999699,500,0.884543379143632,158,1925,0.1248,0.884543379143632
17000,540.6986486834688,500,0.8768317118617008,168,2288,0.2806,0.8768317118617008
17500,632.8750071156222,500,0.8854617482583297,157,1829,0.1139,0.8854617482583297
18000,644.4702800922986,500,0.8876193797614657,154,1771,0.0591,0.8876193797614657
18500,592.2516701406936,500,0.8724240016220015,175,2032,0.0976,0.8724240016220015
19000,671.3763050547984,500,0.8941965991224855,145,1637,0.0043,0.8941965991224855
19500,606.1849200957836,500,0.8907726587536808,149,1961,0.2463,0.8907726587536808
20000,566.9809391120109,500,0.8708255068862208,177,2158,0.1422,0.8708255068862208
20500,675.7892965330878,500,0.9138161823549544,117,1613,0.2169,0.9138161823549544
21000,600.5484825469973,500,0.8900135872473351,150,1989,0.254,0.8900135872473351
21500,654.9642867296667,500,0.8891620392359041,152,1719,0.0407,0.8891620392359041
22000,542.5195336673811,500,0.8712287196821449,176,2279,0.2723,0.8712287196821449
22500,585.8121060704798,500,0.88982457818202,150,2062,0.2828,0.88982457818202
23000,638.6161594194975,500,0.8987505805546736,138,1799,0.1889,0.8987505805546736
23500,625.3449341799161,500,0.8804573325953304,164,1867,0.0373,0.8804573325953304
24000,566.3335262266588,500,0.8777334410809904,167,2160,0.2745,0.8777334410809904
24500,603.3405005090844,500,0.8795106590750176,165,1976,0.1748,0.8795106590750176
25000,625.7527509132633,500,0.8888597490387817,152,1864,0.1563,0.8888597490387817
25500,612.6433937137036,500,0.8872951865701313,154,1929,0.2073,0.8872951865701313
26000,613.6471923676046,500,0.899908467104256,136,1923,0.2777,0.899908467104256
26500,591.432993541862,500,0.8836251704168617,159,2035,0.2075,0.8836251704168617
27000,635.1130252136143,500,0.8833417640127128,160,1818,0.0586,0.8833417640127128
27500,610.2998811066551,500,0.8830463556400664,160,1941,0.164,0.8830463556400664
28000,561.6922605636555,500,0.876254416888808,169,2183,0.2658,0.876254416888808
28500,573.4700410812251,500,0.884117985396284,158,2124,0.293,0.884117985396284
