Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
1,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
2,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
3,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
4,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
4,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
5,998.37,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
6,996.75,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
7,995.12,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
8,993.49,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
9,991.87,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
10,990.24,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
11,988.61,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
12,986.98,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
13,985.36,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
14,983.73,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
15,982.10,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
16,980.48,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
17,978.85,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
18,977.22,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
19,975.60,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
20,973.97,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
21,972.34,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
22,970.72,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
23,969.09,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
24,967.46,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
25,965.84,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
26,964.21,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
27,962.58,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
28,960.95,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
29,959.33,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
30,957.70,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
31,956.07,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
32,954.45,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
33,952.82,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
34,951.19,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
35,949.57,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
36,947.94,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260508_150952.pth
