Model,Episodes,Timesteps/Ep,EDF Range,Epsilon Akhir,Reward Mean (all),Reward Mean (last 10%),Reward Std (last 10%),Reward Trend,QoS Mean (last 10%),QoS Std (last 10%),Total Drops,Avg Drops/Ep
E200 T1000,200,1000,"[0.00, 0.30]",0.5483,-97.95,-97.31,14.08,-100.37 → -97.31,0.8534,0.1988,200,1.0
E500 T1000,500,1000,"[0.00, 0.60]",0.2226,-99.4,-92.0,19.12,-101.07 → -92.00,0.918,0.1082,500,1.0
E1000 T200,1000,200,"[0.00, 0.90]",0.0499,-101.1,-81.48,99.91,-97.98 → -81.48,0.8013,0.2852,988,0.99
E1000 T500,1000,500,"[0.00, 0.90]",0.0499,-99.12,-95.45,88.98,-100.65 → -95.45,0.8385,0.2628,1000,1.0
