Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,107.25405976738226,0.8718700716388961,35,462,0.997,0.2852,200,0.825
2,132.36529021553176,0.8942327129046319,29,337,0.994009,0.0485,200,0.855
3,120.1001845757301,0.88307407186486,32,398,0.991026973,0.2479,200,0.84
4,117.56379593851358,0.8689607123505481,36,411,0.988053892081,0.0362,200,0.82
5,101.92539593073298,0.847183271783368,42,489,0.985089730404757,0.2209,200,0.79
6,115.3284407339269,0.87590447243374,34,422,0.9821344612135428,0.2077,200,0.83
7,97.74468688504115,0.836464310509392,45,510,0.9791880578299021,0.1338,200,0.775
8,107.14216691955768,0.857997030146252,39,463,0.9762504936564125,0.1756,200,0.805
9,129.134080659733,0.897548392787864,28,353,0.9733217421754432,0.162,200,0.86
10,97.73127566363823,0.8399988703712761,44,510,0.9704017769489168,0.1981,200,0.78
11,124.34621198054059,0.886741833088828,31,377,0.9674905716180701,0.0188,200,0.845
12,127.55740237064477,0.886949193413948,31,361,0.9645880999032158,0.0054,200,0.845
13,102.36077174962945,0.8366379908244079,45,487,0.9616943356035061,0.0083,200,0.775
14,108.53068039768154,0.850895510488024,41,456,0.9588092525966956,0.0949,200,0.795
15,136.28484229760377,0.911767593469828,24,317,0.9559328248389055,0.2315,200,0.88
16,112.29193993439884,0.8792800725490479,33,437,0.9530650263643888,0.2198,200,0.835
17,112.59119914003496,0.8583425523303879,39,436,0.9502058312852957,0.0006,200,0.805
18,113.34100359974875,0.868719990923936,36,432,0.9473552137914398,0.0696,200,0.82
19,121.54482944886023,0.8760749526538202,34,391,0.9445131481500655,0.0525,200,0.83
20,113.76004385784533,0.8653859123515599,37,430,0.9416796087056153,0.1052,200,0.815
21,117.57128384819896,0.861926151919224,38,411,0.9388545698794984,0.0722,200,0.81
22,117.07903742728541,0.886440712446884,31,413,0.93603800616986,0.2694,200,0.845
23,98.11213652574166,0.8504855905149961,41,508,0.9332298921513504,0.2186,200,0.795
24,96.8880277805947,0.843330871097948,43,514,0.9304302024748964,0.2835,200,0.785
25,127.34078303435446,0.886864952853292,31,362,0.9276389118674717,0.048,200,0.845
26,151.33840559491094,0.9265291145377161,20,242,0.9248559951318693,0.0777,200,0.9
27,121.87002942683479,0.8935629525792319,29,389,0.9220814271464737,0.2653,200,0.855
28,121.88577025813606,0.8900437524269199,30,389,0.9193151828650342,0.2044,200,0.85
29,130.1553527528684,0.8834627131389721,32,348,0.9165572373164391,0.0274,200,0.84
30,110.83273152650335,0.88258335058218,32,444,0.9138075656044898,0.2989,200,0.84
31,137.7193206402898,0.904822233224848,26,310,0.9110661429076764,0.1068,200,0.87
32,116.0966454599325,0.879359992142872,33,418,0.9083329444789534,0.1662,200,0.835
33,115.89574457142818,0.8757847117915278,34,419,0.9056079456455165,0.1546,200,0.83
34,115.30001495510892,0.8793366316395439,33,422,0.90289112180858,0.1918,200,0.835
35,138.32139597115398,0.9083970337410121,25,307,0.9001824484431542,0.047,200,0.875
36,126.93630313704546,0.8868692730810559,31,364,0.8974819010978248,0.0795,200,0.845
37,142.65773831267768,0.9331336737908199,18,285,0.8947894553945313,0.2606,200,0.91
38,105.13213150360379,0.8508368699914121,41,473,0.8921050870283477,0.0839,200,0.795
39,142.5444216985699,0.905037914498796,26,286,0.8894287717672626,0.0072,200,0.87
40,114.72315246097149,0.8687375113430559,36,425,0.8867604854519608,0.1705,200,0.82
41,121.75929835551733,0.876127192877072,34,390,0.884100203995605,0.0805,200,0.83
42,134.9454007839155,0.894201433122636,29,324,0.8814479033836181,0.0073,200,0.855
43,134.319584839605,0.9012251940013359,27,327,0.8788035596734672,0.1249,200,0.865
44,111.51317489133464,0.8651005510129679,37,441,0.8761671489944468,0.1609,200,0.815
45,113.89745667333241,0.8757461523477119,34,429,0.8735386475474635,0.2197,200,0.83
46,124.66820224986427,0.8900583124232481,30,375,0.8709180316048211,0.1192,200,0.85
47,126.11251425610197,0.893774232793684,29,368,0.8683052775100066,0.1351,200,0.855
48,101.3472595789842,0.8365892697434322,45,492,0.8657003616774767,0.097,200,0.775
