Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,508.73795817831075,0.8632547189184736,187,2448,0.997,0.2852,1000,0.813
2,506.36402251913626,0.8611312319872488,190,2460,0.994009,0.2619,1000,0.81
3,581.5406253824866,0.867480259163372,182,2086,0.991026973,0.0749,1000,0.818
4,572.5940352265732,0.8730063373557864,174,2130,0.988053892081,0.1715,1000,0.826
5,563.5699369514593,0.8588936022441784,194,2176,0.985089730404757,0.0805,1000,0.806
6,518.2210743118309,0.8640456485503688,186,2401,0.9821344612135428,0.233,1000,0.814
7,624.3560398054966,0.8797847077939728,165,1872,0.9791880578299021,0.0219,1000,0.835
8,601.6970016853253,0.876734387821808,169,1985,0.9762504936564125,0.0724,1000,0.831
9,611.610869145169,0.8747833321616512,172,1936,0.9733217421754432,0.0119,1000,0.828
10,627.710562694476,0.8826069318812584,161,1855,0.9704017769489168,0.086,1000,0.839
11,579.0487909769917,0.8786324035783576,166,2097,0.9674905716180701,0.2187,1000,0.834
12,581.2877672384786,0.89126971313824,148,2085,0.9645880999032158,0.2881,1000,0.852
13,569.3951603259457,0.8778402421675559,167,2145,0.9616943356035061,0.2543,1000,0.833
14,612.6276368521824,0.8991964206593609,137,1928,0.9588092525966956,0.2877,1000,0.863
15,610.3758288562844,0.8747372835793128,172,1942,0.9559328248389055,0.0626,1000,0.828
16,554.452309857962,0.8608908017217921,191,2221,0.9530650263643888,0.1535,1000,0.809
17,583.58440271144,0.8835717457719768,159,2074,0.9502058312852957,0.2376,1000,0.841
18,585.585971651195,0.8828635865778992,160,2064,0.9473552137914398,0.2123,1000,0.84
19,631.6245247099281,0.8798518464077519,165,1836,0.9445131481500655,0.0186,1000,0.835
20,650.5578554321476,0.8891426131453009,152,1741,0.9416796087056153,0.0313,1000,0.848
21,628.2895865155662,0.8854162613428128,157,1852,0.9388545698794984,0.096,1000,0.843
22,611.5312802536265,0.8887512843619024,152,1935,0.93603800616986,0.1573,1000,0.848
23,571.7473815369061,0.8805981941969696,163,2133,0.9332298921513504,0.2408,1000,0.837
24,565.2495125968387,0.8644908658425383,186,2167,0.9304302024748964,0.114,1000,0.814
25,579.149214786509,0.8737221622157096,173,2097,0.9276389118674717,0.1603,1000,0.827
26,599.4457042074317,0.876044643715252,170,1996,0.9248559951318693,0.1336,1000,0.83
27,588.0214882612173,0.8730976196462504,174,2053,0.9220814271464737,0.1362,1000,0.826
28,539.4978619192043,0.8733171520565256,173,2294,0.9193151828650342,0.2999,1000,0.827
29,518.3853646183226,0.8612020782672096,190,2400,0.9165572373164391,0.2738,1000,0.81
30,553.0551552336578,0.8713642079507408,176,2227,0.9138075656044898,0.218,1000,0.824
31,603.196512391671,0.8697332824372631,179,1978,0.9110661429076764,0.0271,1000,0.821
32,659.3746808292475,0.8968489019556711,141,1696,0.9083329444789534,0.1208,1000,0.859
33,606.5723269577975,0.8816669789312559,162,1960,0.9056079456455165,0.1248,1000,0.838
34,551.1543815621029,0.8706065294061256,177,2236,0.90289112180858,0.2806,1000,0.823
35,680.7980014583909,0.9069051433928311,127,1589,0.9001824484431542,0.1139,1000,0.873
36,629.744454556688,0.8805156692842017,164,1845,0.8974819010978248,0.0591,1000,0.836
37,540.315459561679,0.853748032443616,201,2292,0.8947894553945313,0.0976,1000,0.799
38,646.5634079395069,0.8876606323433608,154,1761,0.8921050870283477,0.0043,1000,0.846
39,579.8425270878737,0.8786081467422447,166,2093,0.8894287717672626,0.2463,1000,0.834
40,617.7392711813152,0.8880907557892759,153,1904,0.8867604854519608,0.1422,1000,0.847
41,632.746576745665,0.9007874603516479,135,1828,0.884100203995605,0.2169,1000,0.865
42,593.0034841262544,0.88645141116242,155,2027,0.8814479033836181,0.254,1000,0.845
43,671.5720428056887,0.8963257366437769,142,1636,0.8788035596734672,0.0407,1000,0.858
44,581.3005166830874,0.886309553850004,155,2085,0.8761671489944468,0.2723,1000,0.845
45,594.3193730135769,0.8913597784333032,148,2020,0.8735386475474635,0.2828,1000,0.852
46,636.2751360572034,0.8987762452580889,138,1811,0.8709180316048211,0.1889,1000,0.862
47,649.9209896179299,0.8869795244637816,155,1744,0.8683052775100066,0.0373,1000,0.845
48,609.6751166046852,0.8970956037473009,140,1943,0.8657003616774767,0.2745,1000,0.86
