Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,508.73795817831075,0.8632547189184736,187,2448,0.997,0.2852,1000,0.813
2,506.36540492322035,0.8611327679924848,190,2460,0.994009,0.2619,1000,0.81
3,581.5406253824866,0.867480259163372,182,2086,0.991026973,0.0749,1000,0.818
4,572.5940352189008,0.8730063373472616,174,2130,0.988053892081,0.1715,1000,0.826
5,563.566864938104,0.8588905302233399,194,2176,0.985089730404757,0.0805,1000,0.806
6,518.2226103245234,0.864047184565524,186,2401,0.9821344612135428,0.233,1000,0.814
7,624.3560398054966,0.8797847077939728,165,1872,0.9791880578299021,0.0219,1000,0.835
8,601.6970016853253,0.876734387821808,169,1985,0.9762504936564125,0.0724,1000,0.831
9,611.610869145169,0.8747833321616512,172,1936,0.9733217421754432,0.0119,1000,0.828
10,627.7061082597817,0.8826023238377344,161,1855,0.9704017769489168,0.086,1000,0.839
11,579.0500197837783,0.8786339395858935,166,2097,0.9674905716180701,0.2187,1000,0.834
12,581.2863848136172,0.8912681771021407,148,2085,0.9645880999032158,0.2881,1000,0.852
13,569.3963891499258,0.8778417781962776,167,2145,0.9616943356035061,0.2543,1000,0.833
14,611.8158607430034,0.8991833003542993,137,1932,0.9588092525966956,0.2877,1000,0.863
15,610.3727568374346,0.8747342115537385,172,1942,0.9559328248389055,0.0626,1000,0.828
16,554.4552282546473,0.8608938737106256,191,2221,0.9530650263643888,0.1535,1000,0.809
17,583.5831738888164,0.8835702097469385,159,2074,0.9502058312852957,0.2376,1000,0.841
18,636.7616142880609,0.9008469166452632,135,1808,0.9473552137914398,0.2123,1000,0.865
19,628.4496842589517,0.8770372525662281,169,1852,0.9445131481500655,0.0186,1000,0.831
20,597.8669149130451,0.8669414917762152,183,2005,0.9416796087056153,0.0313,1000,0.817
21,635.8439222710294,0.8889728054984248,152,1814,0.9388545698794984,0.096,1000,0.848
22,569.0361884977724,0.8708713612350312,177,2148,0.93603800616986,0.1573,1000,0.823
23,554.2221862113263,0.8734623840885615,173,2221,0.9332298921513504,0.2408,1000,0.827
24,565.6194190764968,0.8666148332227328,183,2165,0.9304302024748964,0.114,1000,0.817
25,597.0747687801263,0.8858052367110183,156,2007,0.9276389118674717,0.1603,1000,0.844
26,603.3792332102056,0.880948035449708,163,1976,0.9248559951318693,0.1336,1000,0.837
27,616.6198977231101,0.8845989817793849,158,1910,0.9220814271464737,0.1362,1000,0.842
28,508.3409396064129,0.8625064300565992,188,2450,0.9193151828650342,0.2999,1000,0.812
29,583.0945161059204,0.8884086105779736,152,2076,0.9165572373164391,0.2738,1000,0.848
30,648.0051538146631,0.9051755574169568,129,1752,0.9138075656044898,0.218,1000,0.871
31,665.5274394680466,0.8948153028693048,144,1666,0.9110661429076764,0.0271,1000,0.856
32,570.2457473984834,0.8630760967859903,188,2142,0.9083329444789534,0.1208,1000,0.812
33,611.9966132887117,0.8824196989453376,161,1933,0.9056079456455165,0.1248,1000,0.839
34,559.2798022358586,0.8797839203803464,164,2195,0.90289112180858,0.2806,1000,0.836
35,643.8148987788376,0.8939592063843663,145,1774,0.9001824484431542,0.1139,1000,0.855
36,633.1344732100089,0.883334054052988,160,1828,0.8974819010978248,0.0591,1000,0.84
37,616.8010570411666,0.885273332835328,157,1909,0.8947894553945313,0.0976,1000,0.843
38,654.9608589095598,0.8898110942693416,151,1719,0.8921050870283477,0.0043,1000,0.849
