Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,508.73795817831075,0.8632547189184736,187,2448,0.997,0.2852,1000,0.813
2,506.36402251913626,0.8611312319872488,190,2460,0.994009,0.2619,1000,0.81
3,581.542007796938,0.8674817951801271,182,2086,0.991026973,0.0749,1000,0.818
4,572.5940352265732,0.8730063373557864,174,2130,0.988053892081,0.1715,1000,0.826
5,563.5668649393352,0.8588905302242872,194,2176,0.985089730404757,0.0805,1000,0.806
6,518.2210743118309,0.8640456485503688,186,2401,0.9821344612135428,0.233,1000,0.814
7,624.3575758159158,0.8797862438081806,165,1872,0.9791880578299021,0.0219,1000,0.835
8,601.6919745341098,0.8774354119086943,168,1985,0.9762504936564125,0.0724,1000,0.832
9,612.0100404336239,0.8747829802752343,172,1934,0.9733217421754432,0.0119,1000,0.828
10,625.9145582997423,0.8818886763251208,162,1864,0.9704017769489168,0.086,1000,0.838
11,579.0489445841955,0.8786324035885769,166,2097,0.9674905716180701,0.2187,1000,0.834
12,581.2850024248648,0.891266641117296,148,2085,0.9645880999032158,0.2881,1000,0.852
13,569.3951603334285,0.8778402421798697,167,2145,0.9616943356035061,0.2543,1000,0.833
14,612.6291216746394,0.8991982126772937,137,1928,0.9588092525966956,0.2877,1000,0.863
15,610.3727568433075,0.8747342115641574,172,1942,0.9559328248389055,0.0626,1000,0.828
16,554.4552282554051,0.8608938737125199,191,2221,0.9530650263643888,0.1535,1000,0.809
17,583.5784122803994,0.8835656017400135,159,2074,0.9502058312852957,0.2376,1000,0.841
18,636.7557679201107,0.9015563886856888,134,1808,0.9473552137914398,0.2123,1000,0.866
19,628.2557594858133,0.8770426765955087,169,1853,0.9445131481500655,0.0186,1000,0.831
20,599.2679600191614,0.8676567720750479,182,1998,0.9416796087056153,0.0313,1000,0.818
21,634.6357909364369,0.88895594129966,152,1820,0.9388545698794984,0.096,1000,0.848
22,567.6417260730938,0.8701576172304513,178,2155,0.93603800616986,0.1573,1000,0.822
23,554.2154693823954,0.8734549600475937,173,2221,0.9332298921513504,0.2408,1000,0.827
24,565.6237199210094,0.8666194412835593,183,2165,0.9304302024748964,0.114,1000,0.817
25,597.0703143586978,0.8858006286788607,156,2007,0.9276389118674717,0.1603,1000,0.844
26,603.3838412171203,0.8809526434629688,163,1976,0.9248559951318693,0.1336,1000,0.837
27,621.8156672524563,0.8867404857692041,155,1884,0.9220814271464737,0.1362,1000,0.845
28,570.9083004546712,0.8855426746240239,156,2137,0.9193151828650342,0.2999,1000,0.844
29,588.6541307918015,0.8947899539110984,143,2048,0.9165572373164391,0.2738,1000,0.857
30,568.6580863444531,0.8735874428208672,173,2149,0.9138075656044898,0.218,1000,0.827
31,696.2141088972376,0.9021932417901241,134,1513,0.9110661429076764,0.0271,1000,0.866
32,667.1998705828213,0.9004609509994408,136,1657,0.9083329444789534,0.1208,1000,0.864
33,616.5841650597426,0.8845746604927393,158,1910,0.9056079456455165,0.1248,1000,0.842
34,539.7116708209339,0.8733091674557888,173,2293,0.90289112180858,0.2806,1000,0.827
35,574.1059144233936,0.86528116838692,185,2123,0.9001824484431542,0.1139,1000,0.815
36,682.2499074750602,0.9041153040558599,131,1582,0.8974819010978248,0.0591,1000,0.869
37,632.796275288125,0.8882036367858352,153,1829,0.8947894553945313,0.0976,1000,0.847
38,678.382873316286,0.8991878468727799,138,1602,0.8921050870283477,0.0043,1000,0.862
39,582.7631718291719,0.8856404505944017,156,2078,0.8894287717672626,0.2463,1000,0.844
40,621.9776952837246,0.8888557958418271,152,1883,0.8867604854519608,0.1422,1000,0.848
41,546.020791123918,0.8691593931552505,179,2262,0.884100203995605,0.2169,1000,0.821
42,528.4342018583496,0.8598882557385448,192,2350,0.8814479033836181,0.254,1000,0.808
43,650.1560618412241,0.8862858781021351,156,1743,0.8788035596734672,0.0407,1000,0.844
44,614.0698427036402,0.8978160517531281,139,1921,0.8761671489944468,0.2723,1000,0.861
45,550.6712050981365,0.8797268473868743,164,2238,0.8735386475474635,0.2828,1000,0.836
46,574.727377347739,0.873653073626692,173,2119,0.8709180316048211,0.1889,1000,0.827
47,639.3108905032867,0.8854804377472671,157,1797,0.8683052775100066,0.0373,1000,0.843
48,583.8538763993204,0.8912227554018622,148,2072,0.8657003616774767,0.2745,1000,0.852
