Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode
1,-100.0,0.279743989872,1,10,0.997,0.1837
2,-98.0025600015104,0.7590613294538665,1,10,0.994009,0.0026
3,-100.0,0.279743989872,1,10,0.991026973,0.0723
4,-99.51587053486722,0.85346879661152,1,13,0.988053892081,0.2328
5,-104.06270741995472,0.8935908537193143,1,20,0.985089730404757,0.1856
6,-98.6533748610916,0.7589066627362667,1,11,0.9821344612135428,0.0546
7,-100.0,0.279743989872,1,10,0.9791880578299021,0.0555
8,-98.0007680004096,0.7596586631541333,1,10,0.9762504936564125,0.1855
9,-99.17369258821932,0.8776853303116,1,14,0.9733217421754432,0.2676
10,-90.66489486820839,0.9331999982810909,1,11,0.9704017769489168,0.046
11,-98.0023040013568,0.7591466628383999,1,10,0.9674905716180701,0.2416
12,-89.0161280110848,0.9386346648754665,1,10,0.9645880999032158,0.0265
13,-99.0020480012288,0.6388479943216,1,10,0.9616943356035061,0.2625
14,-97.003072001792,0.8191679970200001,1,10,0.9588092525966956,0.0286
15,-98.81967156902772,0.8950194259621714,1,15,0.9559328248389055,0.2415
16,-97.73933000956086,0.8538175967007999,1,12,0.9530650263643888,0.252
17,-100.0,0.279743989872,1,10,0.9502058312852957,0.082
18,-100.0,0.279743989872,1,10,0.9473552137914398,0.297
19,-98.51305453310083,0.8783599974706666,1,13,0.9445131481500655,0.0092
20,-97.65795529991874,0.8182839964832,1,11,0.9416796087056153,0.1152
21,-148.8707337589978,0.9544602328130353,1,28,0.9388545698794984,0.239
22,-102.52313304485578,0.9490410643466665,1,24,0.93603800616986,0.1948
23,-98.16885670944653,0.8950857116982858,1,14,0.9332298921513504,0.2258
24,-97.0028160016384,0.8192319970583999,1,10,0.9304302024748964,0.2435
25,-99.0005120002816,0.6396159947952,1,10,0.9276389118674717,0.0335
26,-100.0,0.279743989872,1,10,0.9248559951318693,0.1797
27,-99.0020480012288,0.6388479943216,1,10,0.9220814271464737,0.2914
28,-79.07176969302114,0.969487357937792,1,14,0.9193151828650342,0.1418
29,-99.0020480012288,0.6388479943216,1,10,0.9165572373164391,0.012
30,-97.0028160016384,0.8192319970583999,1,10,0.9138075656044898,0.1469
31,-100.0,0.279743989872,1,10,0.9110661429076764,0.1398
32,-76.98837453310321,0.9708559985510461,1,13,0.9083329444789534,0.0643
33,-100.0,0.279743989872,1,10,0.9056079456455165,0.2902
34,-98.6549108620388,0.7583946624205332,1,11,0.90289112180858,0.1837
35,-91.32114809651972,0.9327389069045818,1,12,0.9001824484431542,0.2671
36,-100.0,0.279743989872,1,10,0.8974819010978248,0.1051
37,-93.3549122549888,0.9380613313553999,1,16,0.8947894553945313,0.1231
38,-99.8987405541959,0.8945508542916573,1,16,0.8921050870283477,0.2833
39,-91.96744488452535,0.9330923613314909,1,13,0.8894287717672626,0.282
40,-100.0,0.279743989872,1,10,0.8867604854519608,0.2122
41,-95.0102400073728,0.8782506637498666,1,10,0.884100203995605,0.0074
42,-98.0025600015104,0.7590613294538665,1,10,0.8814479033836181,0.0093
43,-96.73566672583554,0.8783519973949333,1,12,0.8788035596734672,0.0084
44,-98.65448878897539,0.7584799958384,1,11,0.8761671489944468,0.041
45,-98.0040960024576,0.7585493291381334,1,10,0.8735386475474635,0.0154
46,-86.71468019570003,0.9580079981763111,1,15,0.8709180316048211,0.058
47,-98.6549108620388,0.7583946624205332,1,11,0.8683052775100066,0.1866
