Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode
1,-100.0,0.279743989872,1,10,0.997,0.2914
2,-128.59061808678237,0.8524831947648,1,17,0.994009,0.2509
3,-100.0,0.279743989872,1,10,0.991026973,0.2548
4,-106.43637299564314,0.9249247969073601,1,20,0.988053892081,0.1233
5,-97.6554228623204,0.8186679967449999,1,11,0.985089730404757,0.2849
6,-98.45487764542612,0.9461039979235429,1,21,0.9821344612135428,0.2967
7,-98.0010240005632,0.7595733297696,1,10,0.9791880578299021,0.1542
8,-93.6547447901034,0.9093979982984,1,11,0.9762504936564125,0.1568
9,-98.0025600015104,0.7590613294538665,1,10,0.9733217421754432,0.0989
10,-100.0,0.279743989872,1,10,0.9704017769489168,0.0446
11,-100.72985084170547,0.637743993872,1,12,0.9674905716180701,0.251
12,-88.32592217232553,0.9468228552110286,1,12,0.9645880999032158,0.0358
13,-111.30178641215556,0.931768724727127,1,19,0.9616943356035061,0.0551
14,-100.0,0.279743989872,1,10,0.9588092525966956,0.0592
15,-96.3118697253064,0.8780959972370668,1,12,0.9559328248389055,0.223
16,-98.65448878897539,0.7584799958384,1,11,0.9530650263643888,0.0968
17,-186.6630448727053,0.85178559585184,1,19,0.9502058312852957,0.2016
18,-96.66000330114754,0.8542175969407999,1,11,0.9473552137914398,0.0386
19,-95.96214502056594,0.8956639977346287,1,13,0.9445131481500655,0.1446
20,-98.65744329963714,0.7578826620714668,1,11,0.9416796087056153,0.1776
21,-93.0079360046592,0.9089759981516,1,10,0.9388545698794984,0.0483
22,-100.0,0.279743989872,1,10,0.93603800616986,0.2789
23,-92.05014817095267,0.9383306648102,1,14,0.9332298921513504,0.218
24,-99.73010684183348,0.7584106625386667,1,12,0.9304302024748964,0.0764
25,-97.6538868613732,0.8190519969818,1,11,0.9276389118674717,0.0766
26,-95.0056320033024,0.8790186644282666,1,10,0.9248559951318693,0.0415
27,-127.71996049630714,0.9365786638847334,1,24,0.9220814271464737,0.2038
28,-108.8546164309325,0.9615679975266401,1,26,0.9193151828650342,0.2584
29,-98.0023040013568,0.7591466628383999,1,10,0.9165572373164391,0.2401
30,-95.61509781262414,0.9083599975348,1,14,0.9138075656044898,0.2988
31,-116.33247338721202,0.8166799958336,1,16,0.9110661429076764,0.0309
32,-99.0020480012288,0.6388479943216,1,10,0.9083329444789534,0.0065
33,-105.45195177903736,0.6356159925952,1,14,0.9056079456455165,0.1128
34,-102.70458452590036,0.9375999975391999,1,18,0.90289112180858,0.1624
35,-100.0,0.279743989872,1,10,0.9001824484431542,0.2331
36,-89.78604333223868,0.9531939983199,1,16,0.8974819010978248,0.1845
37,-98.20093545547195,0.9074439972824,1,16,0.8947894553945313,0.2838
38,-88.91570065211357,0.9581813315764001,1,16,0.8921050870283477,0.0833
39,-90.97389346366828,0.9382413312635335,1,13,0.8894287717672626,0.0872
40,-114.98917627503273,0.8767279961688,1,17,0.8867604854519608,0.269
41,-99.0005120002816,0.6396159947952,1,10,0.884100203995605,0.255
42,-96.655934862602,0.8548319973396798,1,11,0.8814479033836181,0.0976
43,-100.0,0.279743989872,1,10,0.8788035596734672,0.2223
44,-95.12010031002347,0.92620639799432,1,15,0.8761671489944468,0.1886
