Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode
1,-91.6615668671332,0.92685279821672,1,11,0.997,0.2006
2,-100.0,0.279743989872,1,10,0.994009,0.18
3,-117.44537991114066,0.9311665421680001,1,25,0.991026973,0.1936
4,-74.84842114947944,0.9754028374539871,1,15,0.988053892081,0.0181
5,-98.0007680004096,0.7596586631541333,1,10,0.985089730404757,0.11
6,-98.0025600015104,0.7590613294538665,1,10,0.9821344612135428,0.1147
7,-98.65295278802819,0.7589919961541334,1,11,0.9791880578299021,0.2409
8,-113.34040939322803,0.8941119967597714,1,16,0.9762504936564125,0.1141
9,-98.0040960024576,0.7585493291381334,1,10,0.9733217421754432,0.0106
10,-100.0,0.279743989872,1,10,0.9704017769489168,0.2356
11,-99.65539529840834,0.6378479937216,1,11,0.9674905716180701,0.1026
12,-100.39011730523,0.7565493279381332,1,13,0.9645880999032158,0.2655
13,-98.0010240005632,0.7595733297696,1,10,0.9616943356035061,0.1382
14,-96.0048640028672,0.85497599740096,1,10,0.9588092525966956,0.1128
15,-145.14991479982098,0.9317687247634907,1,19,0.9559328248389055,0.0038
16,-99.0020480012288,0.6388479943216,1,10,0.9530650263643888,0.1231
17,-86.6715508734052,0.9505695983110934,1,11,0.9502058312852957,0.1838
18,-100.0,0.279743989872,1,10,0.9473552137914398,0.1362
19,-92.66102730165953,0.9188959982435555,1,11,0.9445131481500655,0.1088
20,-100.0,0.279743989872,1,10,0.9416796087056153,0.2021
21,-97.65590729866433,0.8187959967967999,1,11,0.9388545698794984,0.0999
22,-93.66137125101095,0.9422227669851078,1,18,0.93603800616986,0.2131
23,-100.0,0.279743989872,1,10,0.9332298921513504,0.1793
24,-94.65935279307139,0.8957965690598858,1,11,0.9304302024748964,0.2058
25,-100.0,0.279743989872,1,10,0.9276389118674717,0.1363
26,-96.38936970648346,0.8951885689134859,1,13,0.9248559951318693,0.0768
27,-97.0028160016384,0.8192319970583999,1,10,0.9220814271464737,0.083
28,-98.039133001487,0.8779839972283999,1,14,0.9193151828650342,0.2882
29,-99.0020480012288,0.6388479943216,1,10,0.9165572373164391,0.0971
30,-97.6569588632676,0.8182839965082,1,11,0.9138075656044898,0.0749
31,-98.11412057254394,0.92592479783024,1,15,0.9110661429076764,0.2123
32,-94.3128937258696,0.9084439978573999,1,12,0.9083329444789534,0.17
33,-83.87163153736306,0.9670295637324522,1,17,0.9056079456455165,0.2127
34,-97.31335059832708,0.8538175967007999,1,12,0.90289112180858,0.0744
35,-98.46014378853175,0.918115552855111,1,14,0.9001824484431542,0.1603
36,-99.05367253264414,0.9499231981754667,1,17,0.8974819010978248,0.0632
37,-98.0010240005632,0.7595733297696,1,10,0.8947894553945313,0.1326
38,-98.65590729868994,0.7583946623871999,1,11,0.8921050870283477,0.2145
