Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,763.7016948297975,0.8644383412758192,278,3669,0.997,0.2852,1500,0.814667
2,924.8643944184105,0.8762365805666362,255,2867,0.994009,0.0077,1500,0.83
3,821.8457685033931,0.8624512590699881,283,3380,0.991026973,0.1875,1500,0.811333
4,841.5593133066825,0.8649589538747039,278,3282,0.988053892081,0.1489,1500,0.814667
5,827.1700864648977,0.8760639112903471,254,3352,0.985089730404757,0.2887,1500,0.830667
6,852.458337930933,0.8673868145756778,273,3228,0.9821344612135428,0.1245,1500,0.818
7,841.8638049310754,0.86725570009341,273,3280,0.9791880578299021,0.1735,1500,0.818
8,808.6934383128128,0.8660992917567003,275,3445,0.9762504936564125,0.2139,1500,0.816667
9,734.543526758364,0.8548722791023504,298,3815,0.9733217421754432,0.2938,1500,0.801333
10,854.5703701741056,0.8654743993039534,277,3217,0.9704017769489168,0.1485,1500,0.815333
11,866.5163423033691,0.8636695033308239,281,3158,0.9674905716180701,0.0514,1500,0.812667
12,847.0778781637575,0.8691997003300821,269,3254,0.9645880999032158,0.1876,1500,0.820667
13,916.0519073229391,0.8896614858032972,226,2908,0.9616943356035061,0.2237,1500,0.849333
14,826.0565382577405,0.8662453608525733,275,3359,0.9588092525966956,0.2043,1500,0.816667
15,907.6142722950251,0.8751248860133743,257,2952,0.9559328248389055,0.09,1500,0.828667
16,927.1755691254255,0.8827339967370731,241,2854,0.9530650263643888,0.1043,1500,0.839333
17,813.8629379465222,0.8684662694834185,270,3419,0.9502058312852957,0.2317,1500,0.82
18,927.3271484175691,0.8850877781092048,236,2853,0.9473552137914398,0.117,1500,0.842667
19,879.8451733946988,0.8852411417945859,235,3089,0.9445131481500655,0.2588,1500,0.843333
20,851.7480776010558,0.8738531387110837,259,3230,0.9416796087056153,0.2008,1500,0.827333
21,859.4887162937821,0.8682746208105173,271,3192,0.9388545698794984,0.1308,1500,0.819333
22,893.4195736061542,0.8871602444837738,231,3021,0.93603800616986,0.2207,1500,0.846
23,927.8772958429257,0.8799579647050751,247,2851,0.9332298921513504,0.064,1500,0.835333
24,839.2919466318658,0.8802887580460965,245,3291,0.9304302024748964,0.2667,1500,0.836667
25,982.669379069696,0.9008608688977104,203,2576,0.9276389118674717,0.1256,1500,0.864667
26,938.2062365196988,0.8771942214369494,253,2800,0.9248559951318693,0.0154,1500,0.831333
27,906.6407717858714,0.8756130479460165,256,2957,0.9220814271464737,0.0885,1500,0.829333
28,912.5375795483425,0.873788119431007,260,2928,0.9193151828650342,0.075,1500,0.826667
29,905.8194764810221,0.8760754027426901,255,2961,0.9165572373164391,0.1258,1500,0.83
30,837.2860979118109,0.8718693096243909,263,3302,0.9138075656044898,0.236,1500,0.824667
31,876.3977461276677,0.8884272515415029,228,3105,0.9110661429076764,0.2849,1500,0.848
32,941.5555828134129,0.8809570494247452,245,2783,0.9083329444789534,0.0153,1500,0.836667
