Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode
1,-94.31616659996547,0.9082839977332,1,12,0.997,0.1557
2,-99.38296970615195,0.8181799960266001,1,13,0.994009,0.2826
3,-100.0,0.279743989872,1,10,0.991026973,0.0145
4,-96.0051200030208,0.85492479737024,1,10,0.988053892081,0.2955
5,-88.70478612111069,0.9533669979343,1,15,0.985089730404757,0.075
6,-100.51228653269122,0.8177319960012,1,13,0.9821344612135428,0.1628
7,-180.22632231028706,0.9571697755477777,1,26,0.9791880578299021,0.161
8,-101.51023853146242,0.7576586621541334,1,13,0.9762504936564125,0.266
9,-100.0,0.279743989872,1,10,0.9733217421754432,0.2407
10,-100.0,0.279743989872,1,10,0.9704017769489168,0.158
11,-100.0,0.279743989872,1,10,0.9674905716180701,0.0431
12,-96.39023479633465,0.8954811404784,1,13,0.9645880999032158,0.1045
13,-99.0020480012288,0.6388479943216,1,10,0.9616943356035061,0.0353
14,-100.0,0.279743989872,1,10,0.9588092525966956,0.2918
15,-94.66102730171073,0.8957234263058285,1,11,0.9559328248389055,0.0534
16,-98.90098398859674,0.9075079973583,1,16,0.9530650263643888,0.2954
17,-90.97190059239195,0.9382413313567333,1,13,0.9502058312852957,0.2085
18,-96.308797723412,0.8786079975528001,1,12,0.9473552137914398,0.0968
19,-99.0005120002816,0.6396159947952,1,10,0.9445131481500655,0.0595
20,-240.19043608516722,0.9142524396359111,1,31,0.9416796087056153,0.2108
21,-92.31144765239658,0.92688319832408,1,12,0.9388545698794984,0.1304
22,-100.0,0.279743989872,1,10,0.93603800616986,0.0233
23,-92.6641268675172,0.9184408868647999,1,11,0.9332298921513504,0.079
24,-96.30769757713158,0.8787359976629333,1,12,0.9304302024748964,0.2028
25,-97.6569588644964,0.818283996201,1,11,0.9276389118674717,0.1275
26,-99.0020480012288,0.6388479943216,1,10,0.9248559951318693,0.0858
27,-125.24655294225637,0.917425775308711,1,18,0.9220814271464737,0.1386
28,-97.0028160016384,0.8192319970584001,1,10,0.9193151828650342,0.1191
29,-106.6709115460552,0.9616783978980399,1,24,0.9165572373164391,0.2079
30,-103.01070217510042,0.957984887039422,1,17,0.9138075656044898,0.2389
31,-93.31261016216581,0.9187591092551999,1,12,0.9110661429076764,0.1612
32,-99.0020480012288,0.6388479943216,1,10,0.9083329444789534,0.1112
33,-100.0,0.279743989872,1,10,0.9056079456455165,0.0487
34,-89.66640330485953,0.9387239983136002,1,11,0.90289112180858,0.0148
35,-100.0,0.279743989872,1,10,0.9001824484431542,0.1661
36,-109.34527339514803,0.9321745432180362,1,16,0.8974819010978248,0.0313
37,-96.6590068644964,0.8542175969607999,1,11,0.8947894553945313,0.2635
38,-99.000256000128,0.6397439948720001,1,10,0.8921050870283477,0.1735
39,-98.82259269313836,0.8946171400277716,1,15,0.8894287717672626,0.2878
40,-100.0,0.279743989872,1,10,0.8867604854519608,0.2989
41,-96.0020480011264,0.8555391977491199,1,10,0.884100203995605,0.2441
42,-97.6551668621668,0.8187319967833999,1,11,0.8814479033836181,0.1545
43,-102.24232125522437,0.8167319957584,1,15,0.8788035596734672,0.2944
44,-91.31423609128116,0.9333672710247274,1,12,0.8761671489944468,0.1196
45,-99.09060719710956,0.9635085695165332,1,21,0.8735386475474635,0.2308
46,-97.0061440036864,0.8183999965463999,1,10,0.8709180316048211,0.0468
47,-99.0020480012288,0.6388479943216,1,10,0.8683052775100066,0.1316
48,-99.0020480012288,0.6388479943216,1,10,0.8657003616774767,0.0699
49,-97.0061440036864,0.8183999965463999,1,10,0.8631032605924442,0.002
50,-101.57053317277459,0.92535519717824,1,19,0.860513950810667,0.1676
51,-99.0020480012288,0.6388479943216,1,10,0.857932408958235,0.1023
52,-97.73599484539187,0.85386879681152,1,12,0.8553586117313603,0.046
53,-90.05472144743095,0.9466651409983999,1,14,0.8527925358961662,0.1372
54,-96.73804284662067,0.8778826638048001,1,12,0.8502341582884777,0.2462
55,-152.22451601313605,0.85066879513152,1,20,0.8476834558136123,0.0085
56,-92.56440343146271,0.9497695974802133,1,17,0.8451404054461714,0.2268
57,-100.16742583094596,0.85342719659168,1,14,0.8426049842298329,0.2073
58,-98.0025600015104,0.7590613294538665,1,10,0.8400771692771434,0.0503
59,-90.15869605511445,0.963833141029943,1,19,0.837556937769312,0.1033
60,-90.0158720106752,0.9330792707243635,1,10,0.835044266956004,0.0027
61,-97.73515472555394,0.85412479693024,1,12,0.8325391341551359,0.0215
62,-100.0,0.279743989872,1,10,0.8300415167526705,0.1687
63,-98.0040960024576,0.7585493291381334,1,10,0.8275513922024125,0.0943
64,-91.74009084772148,0.9332043619752727,1,12,0.8250687380258053,0.2198
65,-99.0020480012288,0.6388479943216,1,10,0.8225935318117279,0.2581
66,-88.66691530542273,0.9433981522461539,1,11,0.8201257512162927,0.0138
67,-95.65644686334788,0.8789413310225332,1,11,0.8176653739626438,0.0849
68,-95.38638763180725,0.9086419980326,1,13,0.8152123778407558,0.0141
69,-94.5208997486386,0.9419667668976,1,18,0.8127667407072335,0.2616
70,-94.66268079501859,0.8953211402102859,1,11,0.8103284404851119,0.2186
71,-98.0040960024576,0.7585493291381334,1,10,0.8078974551636565,0.2204
72,-97.0061440036864,0.8183999965463999,1,10,0.8054737627981655,0.0343
73,-98.6549108620388,0.7583946624205332,1,11,0.803057341509771,0.0198
74,-85.3257836646846,0.9561468218132234,1,12,0.8006481694852418,0.0661
75,-100.0,0.279743989872,1,10,0.798246224976786,0.0308
76,-91.62038388501462,0.9384799982754001,1,14,0.7958514863018556,0.1903
77,-95.0053760031488,0.8790613311205333,1,10,0.79346393184295,0.0755
78,-97.6536308612196,0.8191159970202,1,11,0.7910835400474212,0.1805
79,-89.17385339987483,0.9537319985924,1,14,0.7887102894272789,0.1068
80,-111.04110313046743,0.7549066605362666,1,17,0.7863441585589971,0.2078
81,-98.4732414803578,0.9077319975049001,1,16,0.78398512608332,0.243
82,-89.66831279842178,0.9384679981489333,1,11,0.7816331707050701,0.2814
83,-102.51087384561572,0.6366159931452,1,13,0.7792882711929549,0.2347
