Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,508.73795817831075,0.8632547189184736,187,2448,0.997,0.2852,1000,0.813
2,506.36540492322035,0.8611327679924848,190,2460,0.994009,0.2619,1000,0.81
3,581.5406253824866,0.867480259163372,182,2086,0.991026973,0.0749,1000,0.818
4,572.5924992153961,0.8730048013425256,174,2130,0.988053892081,0.1715,1000,0.826
5,563.5668649418927,0.8588905302280759,194,2176,0.985089730404757,0.0805,1000,0.806
6,518.2226103245234,0.864047184565524,186,2401,0.9821344612135428,0.233,1000,0.814
7,624.3545038007607,0.8797831717882896,165,1872,0.9791880578299021,0.0219,1000,0.835
8,601.6935105360042,0.8774369479124832,168,1985,0.9762504936564125,0.0724,1000,0.832
9,611.6124051583352,0.8747848681777537,172,1936,0.9733217421754432,0.0119,1000,0.828
10,627.7119451032913,0.8826084678902832,161,1855,0.9704017769489168,0.086,1000,0.839
11,579.0503269801177,0.8786339395811992,166,2097,0.9674905716180701,0.2187,1000,0.834
12,581.2879208271937,0.8912697131159016,148,2085,0.9645880999032158,0.2881,1000,0.852
13,569.3934707069968,0.877838706143976,167,2145,0.9616943356035061,0.2543,1000,0.833
14,611.8173967510518,0.89918483636596,137,1932,0.9588092525966956,0.2877,1000,0.863
15,610.3727568385716,0.8747342115641575,172,1942,0.9559328248389055,0.0626,1000,0.828
16,554.4538458526575,0.8608923377085311,191,2221,0.9530650263643888,0.1535,1000,0.809
17,606.8324184181675,0.8922465012759695,147,1958,0.9502058312852957,0.2376,1000,0.853
18,627.4662887136358,0.8951964374431737,143,1855,0.9473552137914398,0.2123,1000,0.857
19,632.0205911310258,0.880548165360304,164,1834,0.9445131481500655,0.0186,1000,0.836
20,627.1577360673253,0.8811763566780447,163,1858,0.9416796087056153,0.0313,1000,0.837
21,620.8399898665756,0.8839071880728521,159,1889,0.9388545698794984,0.096,1000,0.841
22,564.6442383078977,0.8659350428472496,184,2170,0.93603800616986,0.1573,1000,0.816
23,573.9798337660748,0.8806621780418975,163,2122,0.9332298921513504,0.2408,1000,0.837
24,608.0365469241623,0.8809901959186409,163,1953,0.9304302024748964,0.114,1000,0.837
25,561.9762446294144,0.8651399207748184,185,2183,0.9276389118674717,0.1603,1000,0.815
26,544.2338430131837,0.8572762564395816,196,2272,0.9248559951318693,0.1336,1000,0.804
27,607.1411678097274,0.8830709320966208,160,1957,0.9220814271464737,0.1362,1000,0.84
28,526.3312977768787,0.8704102388391103,177,2360,0.9193151828650342,0.2999,1000,0.823
29,603.2310514198589,0.8956036989319559,142,1975,0.9165572373164391,0.2738,1000,0.858
30,590.2153661596246,0.8850249470750008,157,2041,0.9138075656044898,0.218,1000,0.843
31,689.0871393061352,0.9048879119469968,130,1548,0.9110661429076764,0.0271,1000,0.87
32,627.4107563453388,0.8860737001643393,156,1856,0.9083329444789534,0.1208,1000,0.844
33,613.5886995999699,0.884543379143632,158,1925,0.9056079456455165,0.1248,1000,0.842
34,540.6986486834688,0.8768317118617008,168,2288,0.90289112180858,0.2806,1000,0.832
35,632.8750071156222,0.8854617482583297,157,1829,0.9001824484431542,0.1139,1000,0.843
36,644.4702800922986,0.8876193797614657,154,1771,0.8974819010978248,0.0591,1000,0.846
37,592.2516701406936,0.8724240016220015,175,2032,0.8947894553945313,0.0976,1000,0.825
